S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3175038.0,SIDHESWAR MOHANTA,INR,"898,473",Finance,open,Sanjeet Kumar Naik,18-Feb-2026 05:25 PM,finance_557808.pdf,BOQ Comparative Chart,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,18-Feb-2026 05:30 PM,finsummary_557808.pdf (529.48 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_119949_6,RWDRRP-08 of 25-26,Routine maintenance of Nuadihi Badsiyajung for the year 2025-26 (SDBC),Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,18-Feb-2026 05:27 PM,techsummary_557808.pdf (529.48 KB),18-Feb-2026,"INR 898,473",30.0,Sanjeet Kumar Naik,18-Feb-2026 05:34 PM,6863.pdf (529.00 KB),1,3193652,DEV KUMAR MANDAL,07-Nov-2025 01:44 PM,Rejected-AOC,Lottery,18-Feb-2026 05:34 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,tender documents as per DTCN,1.0,ICICI BANK,"10,570",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,SERWD Rairangpur,SERWD Rairangpur,27-Oct-2025 11:00 AM,10-Nov-2025 11:30 AM,27-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,27-Oct-2025 11:00 AM ,06-Nov-2025 05:00 PM ,27-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,Routine maintenance of Nuadihi Badsiyajung for the year 2025-26 (SDBC),Routine maintenance of Nuadihi Badsiyajung for the year 2025-26 (SDBC),Please refer Tender documents. ,NA ,"10,57,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-08 of 25-26,2025_CERWI_119949_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3194170,HEMANTA KUMAR TUDU,07-Nov-2025 03:30 PM,Rejected-AOC,Lottery,18-Feb-2026 05:34 PM,AOC,,,.xls,Bill of quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3178939,MOHAN MOHANTA,05-Nov-2025 05:07 PM,Rejected-AOC,Lottery,18-Feb-2026 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3193502,SANDIP RUNGTA,07-Nov-2025 01:26 PM,Rejected-AOC,Lottery,18-Feb-2026 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3175038,SIDHESWAR MOHANTA,02-Nov-2025 06:38 PM,Accepted-AOC,Lottery winner,18-Feb-2026 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
