Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
ST and SC Development Deptt||ITDA Gunupur,ITDAGNP-03/2024-25,2025_STSCD_113765_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of AWC Building at Patigul under Gunupur Block,Building work,Please refer Tender documents. ,NA ,"9,83,428",Civil Works - Buildings,NA ,Tender,90.0,180.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Gunupur",No ,No,"4,000",0.0,Nil,Nil,No,"Projrct Administrator, ITDA, Gunupur","Projrct Administrator, ITDA, Gunupur",1.0,ICICI BANK,23-May-2025 10:00 AM,06-Jun-2025 11:00 AM,23-May-2025 10:00 AM,05-Jun-2025 05:00 PM,23-May-2025 10:00 AM ,05-Jun-2025 05:00 PM ,23-May-2025 10:00 AM,05-Jun-2025 05:00 PM,08-Jul-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Papercost,EMD.Contractorlicense, Affidavit, PAN, GSTIN and other document as per DTCN","9,834",Yes,percentage,1.0%,Nil,Nil,AOC,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, SERWD,Gunupur",Ajaya Kumar Pradhan,07-Jul-2025 07:23 PM,08-Jul-2025 11:00 AM,techsummary_540857.pdf (154.17 KB),Finance,procedding,Ajaya Kumar Pradhan,26-Feb-2026 11:33 AM,finance_540857.pdf,BOQ Comparative Chart,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,26-Feb-2026 11:37 AM,finsummary_540857.pdf (760.32 KB),Technical,Technical Evalation,Ajaya Kumar Pradhan,07-Jul-2025 07:21 PM,technical_540857.pdf,1,2952030,Abani Ranjan Panigrahi,05-Jun-2025 11:11 AM,Rejected-Finance,Not Sucess in the Lottery Process,26-Feb-2026 11:37 AM,1.0,2952257.0,Jeetendra Goudo,INR,"983,427.6",ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_113765_10,ITDAGNP-03/2024-25,Construction of AWC Building at Patigul under Gunupur Block,26-Feb-2026,"INR 983,427.6",180.0,Ajaya Kumar Pradhan,26-Feb-2026 11:41 AM,1630.pdf (387.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2952257,Jeetendra Goudo,05-Jun-2025 12:22 PM,Accepted-AOC,Awarded to Lowest 1,26-Feb-2026 11:41 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2952067,RAKESH KUMAR PATRO,05-Jun-2025 11:04 AM,Rejected-Finance,Not Sucess in the Lottery Process,26-Feb-2026 11:37 AM,,,,,,,,,,,,,,,,,AOC
