S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,"1,33,521",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-ANGUL,Bridge Online-AGL-12/2025-26,2025_CERWI_118034_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,13-Sep-2025 06:00 PM,22-Sep-2025 03:30 PM,13-Sep-2025 06:00 PM,22-Sep-2025 03:00 PM,13-Sep-2025 06:00 PM ,20-Sep-2025 01:00 PM ,13-Sep-2025 06:00 PM,22-Sep-2025 03:00 PM,30-Oct-2025 10:00 AM,Construction of Weir Adjacent to H.L Bridge over Badajore Nallah on PWD road to Madrangmunda road in the District of Dhenkanal for the year 2025-26,Construction of Weir Adjacent to H.L Bridge over Badajore Nallah on PWD road to Madrangmunda road in the District of Dhenkanal for the year 2025-26,NA ,NA ,"1,33,51,640",Civil Works - Bridges,NA ,Tender,90.0,180.0,Kamakhyanagar,759018.0,NA ,NA ,NA ,"Office of the Chief Construction Engineer,RWC,Angu",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD One percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness","Chief Construction Engineer,RWC,Angul",Hakimpada Angul,AOC,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,10-Feb-2026 05:52 PM,finsummary_552561.pdf (166.25 KB),CE RW I||RWCIRCLE-ANGUL,2025_CERWI_118034_1,Bridge Online-AGL-12/2025-26,Construction of Weir Adjacent to H.L Bridge over Badajore Nallah on PWD road to Madrangmunda road in the District of Dhenkanal for the year 2025-26,Technical,20nos bidder found,Anup Kumar Behera,22-Sep-2025 05:37 PM,technical_552561.pdf,1.0,3092551.0,DEBNATH SAMANTA,INR,"11,350,230",1,3092514,AMRUTANANDA DALBEHERA,21-Sep-2025 05:08 PM,Rejected-AOC,0,10-Feb-2026 05:57 PM,10-Feb-2026,"INR 11,350,230",180.0,Anup Kumar Behera,10-Feb-2026 05:57 PM,Document.pdf (166.00 KB),REFUND OF E.M.D,Finance,Nineteen Bidders found,Mamatamayee Biswal,30-Oct-2025 12:48 PM,finance_552561.pdf,BOQ Comparative Chart,Chief Construction Engineer,Internal,"E.E DAO, ESTIMATOR",Anup Kumar Behera,25-Oct-2025 05:43 PM,30-Oct-2025 10:00 AM,techsummary_552561.pdf (1630.08 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour licence,Similar nature of work,Annual Turn Over,Work in hand,No relation,No Litigation certif",,,AOC,,,,,,,,,,,,,,,,,,,,,2,3093284,ASHIK PATRA,22-Sep-2025 07:28 AM,Rejected-AOC,0,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,AOC,,,,,,,,,,,,,,,,,,,,,3,3093190,BRAHMANANDA SAHOO,21-Sep-2025 11:34 PM,Rejected-AOC,0,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3092551,DEBNATH SAMANTA,21-Sep-2025 05:20 PM,Accepted-AOC,Winner of lottery among the 1st lowest bidders,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3092397,GOPABANDHU SAHOO,21-Sep-2025 03:58 PM,Rejected-AOC,0,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3084478,KAMAL LOCHAN SAHU,21-Sep-2025 12:56 PM,Rejected-AOC,0,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3084000,NABAKISHORE BHUTIA,16-Sep-2025 04:28 PM,Rejected-AOC,0,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3092683,PABITRA MOHAN ROUT,21-Sep-2025 06:22 PM,Rejected-AOC,0,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3091981,PRABHAT KUMAR SAHU,22-Sep-2025 11:07 AM,Rejected-AOC,0,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3093130,PRABIR PRABHUPADA ACHARYA,21-Sep-2025 10:41 PM,Rejected-AOC,0,10-Feb-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
