Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"S.E,Balangir (R and B) Division,Balangir","O/O S.E,Balangir (R and B) Division,Balangir","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"17,000",Yes,fixed,,Nil,Nil,Special Repair to BKBC Road from 0/0 KM to 4/500 KM in the district of Bolangir,Road Work,Please refer tender document ,NA ,"16,93,651",Civil Works - Roads,NA ,Tender,90.0,30.0,Balangir,767001.0,NA ,NA ,NA ,"O/O S.E,Balangir (R and B) Division,Balangir",No ,No,09-Sep-2025 06:55 PM,16-Sep-2025 11:30 AM,09-Sep-2025 06:55 PM,15-Sep-2025 05:00 PM,09-Sep-2025 06:55 PM ,12-Sep-2025 05:00 PM ,09-Sep-2025 06:55 PM,15-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof Copy Tender cost and EMD, Registration Certificate, PAN, GSTIN,etc.",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,BGR (R and B)-15 of 2025-26,2025_EICCL_117823_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,25-Feb-2026,"INR 1,439,772.32",30.0,ASHUTOS JENA,25-Feb-2026 01:47 PM,6711.pdf (727.00 KB),"The work has been awarded to Prem Prakash Mishra, C- Class contractor vide agreement No. 640 P1 of 2025-26 on Dtd- 25.10.2025",1,3081816,ARMAN KUMAR ACHARYA,15-Sep-2025 04:39 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,A Jena,Internal,,ASHUTOS JENA,24-Feb-2026 07:02 PM,techsummary_551940.pdf (1880.30 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,2025_EICCL_117823_6,BGR (R and B)-15 of 2025-26,Special Repair to BKBC Road from 0/0 KM to 4/500 KM in the district of Bolangir,A Jena,Internal,,ASHUTOS JENA,25-Feb-2026 12:56 PM,finsummary_551940.pdf (594.42 KB),Finance,Total 11 (Eleven) Nos. bidders were participated and their documents are opened for further evaluation.,ASHUTOS JENA,16-Sep-2025 03:50 PM,finance_551940.pdf,BOQ Comparative Chart,1.0,3080409.0,PREMPRAKASH MISHRA,INR,"1,439,772.32",AOC
,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No relationship Certificate, affidavit, MOU etc.",,,,,,,,,,,,,,,AOC,,,,,,,,2,3080249,BIGHNARAJ MISHRA,14-Sep-2025 11:22 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others document as per DTCN,,,,,,,,,,,,,,,AOC,,,,,,,,3,3078418,GAJENDRA BAGARTY,13-Sep-2025 01:46 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,,,,,,,,4,3079522,PADMANAVA NAIK,14-Sep-2025 02:30 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3077254,Pooja Jain,12-Sep-2025 12:05 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3080409,PREMPRAKASH MISHRA,15-Sep-2025 09:32 AM,Accepted-AOC,The agency has owned the lottery,25-Feb-2026 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3081693,RAHUL TRIPATHY,15-Sep-2025 04:04 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3078363,RAJANI MAHAKUR,13-Sep-2025 01:14 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3080224,RAJIB KUMAR HOTA,14-Sep-2025 11:22 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3081710,SANJEEB KUMAR TALI,15-Sep-2025 03:56 PM,Rejected-Finance,Loose the lottery,25-Feb-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
