Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_27,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,Installation of Kharsanmal-III and Pathamunda L.I. Project under Jamankira block in Sambalpur District,Installation of Kharsanmal-III and Pathamunda L.I. Project under Jamankira block in Sambalpur District,Please refer Tender documents. ,NA ,"83,06,746",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Jamankira,768107.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi","83,067",Yes,percentage,1.0%,Nil,Nil,AOC,1,3268855,Anup kumar agrawal,01-Dec-2025 04:03 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:42 AM,11-Feb-2026,"INR 7,061,564.59",120.0,CHITARANJAN PRADHAN,12-Feb-2026 07:42 AM,27.pdf (874.00 KB),Agreement Done,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 04:33 PM,22-Dec-2025 10:00 AM,techsummary_565801.pdf (1489.21 KB),Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 12:45 PM,finance_565801.pdf,BOQ Comparative Chart,Technical,Tender Open,CHITARANJAN PRADHAN,03-Dec-2025 01:23 PM,technical_565801.pdf,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_27,EEOLICSBP-03/2025-26,Installation of Kharsanmal-III and Pathamunda L.I. Project under Jamankira block in Sambalpur District,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,04-Feb-2026 12:33 PM,finsummary_565801.pdf (685.57 KB),1.0,3268678.0,JAYAJIT KUMAR SAHOO,INR,"7,061,564.59",AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3265298,ASHIS KUMAR PATEL,29-Nov-2025 03:38 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3267747,BANSHIDHAR JIT,30-Nov-2025 04:13 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3267492,BIJAYA KUMAR NAIK,30-Nov-2025 09:52 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3266824,GAURAV PATEL,29-Nov-2025 11:23 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3268678,JAYAJIT KUMAR SAHOO,01-Dec-2025 04:33 AM,Accepted-AOC,Award of Contract,12-Feb-2026 07:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3267456,KAUSHAL BEHERA,29-Nov-2025 10:49 PM,Rejected-Technical,He has Electric licenses not uploaded,21-Dec-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3265183,KULDEEP KISAN,29-Nov-2025 02:21 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3268275,MS Shree Shyam and Co,01-Dec-2025 12:38 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3268352,"OJAS CIVCON, PROPRIETOR-BIJAN MOHANTY",01-Dec-2025 10:23 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
