Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_64,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents","53,175",Yes,percentage,1.0%,Nil,Nil,Installation of Kadligarh-III (Tantagarh) L.I. Project under Rairakhol block in Sambalpur District,Installation of Kadligarh-III (Tantagarh) L.I. Project under Rairakhol block in Sambalpur District,Please refer Tender documents. ,NA ,"53,17,506",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Rairakhol,768106.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,1.0,ICICI BANK,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi","11,800",0.0,Nil,Nil,No,AOC,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_64,EEOLICSBP-03/2025-26,Installation of Kadligarh-III (Tantagarh) L.I. Project under Rairakhol block in Sambalpur District,Technical,Tender Open,CHITARANJAN PRADHAN,02-Dec-2025 12:37 PM,technical_566049.pdf,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,11-Feb-2026 05:48 PM,finsummary_566049.pdf (505.65 KB),1.0,3263368.0,PRAKASH KUMAR SWAIN,INR,"4,520,412.21",1,3267055,DEBADATTA KHAMARI,01-Dec-2025 01:10 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:23 AM,11-Feb-2026,"INR 4,520,412.21",120.0,CHITARANJAN PRADHAN,12-Feb-2026 07:23 AM,64.pdf (727.00 KB),Agreement Done,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 06:24 PM,22-Dec-2025 10:00 AM,techsummary_566049.pdf (438.99 KB),Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 05:44 PM,finance_566049.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3267684,KESHAB CHANDRA SAHU,01-Dec-2025 01:30 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3268411,MAHIMA CONSTRUCTION PROPRIETOR SRI SRIKANTA DEHURY,30-Nov-2025 08:53 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3267280,MOHAMMAD ANISH,30-Nov-2025 10:59 PM,Rejected-Technical,He has JV registration out of stipulated period,21-Dec-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3269371,M/S DILIP KUMAR SAHOO,01-Dec-2025 12:46 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3268412,MS Shree Shyam and Co,01-Dec-2025 01:11 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3261093,PRADEEP KUMAR AGRAWALLA,01-Dec-2025 01:19 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3263368,PRAKASH KUMAR SWAIN,30-Nov-2025 08:11 AM,Accepted-AOC,Award of Contract,12-Feb-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3268220,RAKESH RANJAN SAHU,30-Nov-2025 11:19 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3266209,Tapas Kumar Sahoo,30-Nov-2025 02:01 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,AOC
