S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3342005.0,SITANSU SEKHAR PANIGRAHI,INR,"42,288,780",CCE NC SBP,Internal,,Hemant Naik,27-Feb-2026 08:25 PM,finsummary_567413.pdf (1463.66 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_122068_3,CCENC (R AND B) /12/ 2025-26,Construction of Compound Wall for the Newly Allotted Additional Land for New D.H.H. Campus at Tukurla in Bargarh District for the year2025-26,Technical,TECHNICAL BID (COVER-I) OPENED,Hemant Naik,06-Jan-2026 04:00 PM,,Finance,FINANCIAL BID OPENED,SUCHISMITA SAHU,19-Jan-2026 11:00 AM,,BOQ Comparative Chart,CCE NC SBP,Internal,,SUCHISMITA SAHU,16-Jan-2026 02:07 PM,17-Jan-2026 04:00 PM,techsummary_567413.pdf (380.55 KB),27-Feb-2026,"INR 42,288,780",150.0,Hemant Naik,27-Feb-2026 08:28 PM,AGTDHH.pdf (3248.00 KB),AGT DRAWN,1.0,3342410.0,JAYAKUMARI PADHAN,02-Jan-2026 01:31 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,27-Feb-2026 08:25 PM,AOC,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",18-Dec-2025 03:00 PM,03-Jan-2026 11:00 AM,18-Dec-2025 03:00 PM,02-Jan-2026 05:00 PM,18-Dec-2025 03:00 PM ,24-Dec-2025 05:00 PM ,18-Dec-2025 03:00 PM,02-Jan-2026 05:00 PM,17-Jan-2026 04:00 PM,"4,23,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /12/ 2025-26,2025_EICCL_122068_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Construction of Compound Wall for the Newly Allotted Additional Land for New D.H.H. Campus at Tukurla in Bargarh District for the year2025-26,BUILDING WORK,Please refer Tender documents. ,NA ,"4,23,09,935",Civil Works - Buildings,NA ,Tender,90.0,150.0,BARGARH,768028.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3342005.0,SITANSU SEKHAR PANIGRAHI,01-Jan-2026 08:19 PM,Accepted-AOC,AGT DFRAWN,27-Feb-2026 08:28 PM,AOC,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),AOC
