Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput.",CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 03/2025-26,2025_CERWI_114393_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement to Pedakonda Jharapalli road 10.00 km. Jharapali - Nuagada-2.50 km. and Pandripani to Pedakonda road-1.30 km Road in the District of Malkangiri under MMSY-Improvement to Existing RD Road for the year 2024-25.,Improvement to Pedakonda Jharapalli road 10.00 km. Jharapali - Nuagada-2.50 km. and Pandripani to Pedakonda road-1.30 km Road in the District of Malkangiri under MMSY-Improvement to Existing RD Road for the year 2024-25.,N.A. ,NA ,"5,97,06,000",Civil Works - Roads,NA ,Tender,90.0,272.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","5,98,000",Yes,fixed,,Nil,Nil,12-Jun-2025 09:00 AM,18-Jun-2025 10:00 AM,12-Jun-2025 09:00 AM,17-Jun-2025 05:00 PM,12-Jun-2025 09:00 AM ,16-Jun-2025 02:00 PM ,12-Jun-2025 09:00 AM,17-Jun-2025 05:00 PM,14-Aug-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,AOC,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda",Prabhakara Behera,26-Sep-2025 05:40 PM,finsummary_542876.pdf (468.28 KB),Technical,bidders name,Prabhakara Behera,08-Aug-2025 06:30 PM,technical_542876.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_114393_2,CCERWCSBD Online - 03/2025-26,Improvement to Pedakonda Jharapalli road 10.00 km. Jharapali - Nuagada-2.50 km. and Pandripani to Pedakonda road-1.30 km Road in the District of Malkangiri under MMSY-Improvement to Existing RD Road for the year 2024-25.,1.0,2970442.0,M/s SHREE INFRA AND CO,INR,"50,756,143.15",03-Feb-2026,"INR 59,706,085.34",272.0,Rinku Nahak,03-Feb-2026 09:12 PM,AOCPEDAKONDA.PDF (938.00 KB),"Award of contract to MS Shree Infra and Co, A Class Contractor through transparency lottery system",1,2967837,Binay Ray,15-Jun-2025 09:02 PM,Rejected-AOC,REJECT,03-Feb-2026 09:13 PM,Finance,cs,Prabhakara Behera,26-Sep-2025 05:33 PM,finance_542876.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda",Prabhakara Behera,08-Aug-2025 06:37 PM,14-Aug-2025 11:00 AM,techsummary_542876.pdf (379.99 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2970477,CHETAN BISOI,17-Jun-2025 01:51 PM,Rejected-AOC,REJECT,03-Feb-2026 09:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2969973,Kiran Kumar Gouda,17-Jun-2025 02:36 PM,Rejected-Finance,REJECT,26-Sep-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2966119,Lalit Somani,17-Jun-2025 11:07 AM,Rejected-AOC,REJECT,03-Feb-2026 09:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2970442,M/s SHREE INFRA AND CO,17-Jun-2025 12:49 PM,Accepted-AOC,"Award of contract to MS Shree Infra and Co, A Class Contractor through transparency lottery system",03-Feb-2026 09:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2965368,P.RAMA RAO,16-Jun-2025 12:49 PM,Rejected-Finance,REJECT,26-Sep-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2970724,Rajesh Kumar Jain,17-Jun-2025 02:09 PM,Rejected-Finance,REJECT,26-Sep-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2970439,SASMITA KUMARI SWAIN,17-Jun-2025 12:22 PM,Rejected-AOC,REJECT,03-Feb-2026 09:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2970437,SATYAJEET PADHIARY,17-Jun-2025 04:00 PM,Rejected-AOC,REJECT,03-Feb-2026 09:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2970797,Saumya Ranjan Muduli,17-Jun-2025 02:36 PM,Rejected-AOC,REJECT,03-Feb-2026 09:13 PM,,,,,,,,,,,,,,AOC
