Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
24-Nov-2025 10:00 AM,08-Dec-2025 11:00 AM,24-Nov-2025 10:00 AM,05-Dec-2025 05:00 PM,24-Nov-2025 10:00 AM ,05-Dec-2025 05:00 PM ,24-Nov-2025 10:00 AM,05-Dec-2025 05:00 PM,12-Dec-2025 10:00 AM,"Construction of 50 seated PSH at Govt. UGHS, Sulipadar, G.P-Korapa, Block-K.Singpur",Building works,Please refer Tender documents ,NA ,"1,21,87,916",Civil Works - Buildings,NA ,Tender,90.0,334.0,Rayagada,765001.0,NA ,NA ,NA ,PA ITDA Rayagada,No ,No,ST and SC Development Deptt||ITDA Rayagada,ITDARGDA 03/2025-26,2025_STSCD_121715_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper, EMD, PAN, IT, GSTIN, GSTRC affidavit, RC","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,PA ITDA Rayagada,PA ITDA Rayagada,"1,21,900",Yes,fixed,,Nil,Nil,AOC,26-Feb-2026,"INR 10,360,947",334.0,CHANDRAKANTA MAJHI,26-Feb-2026 05:01 PM,Word_order.pdf (778.00 KB),Letter No 292 dated 25-02-2026 of PA ITDA Rayagada,1,3257827,GITANJALI PIDIKA,29-Nov-2025 12:40 PM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,Finance,Tender Opened,Trilochan Sethy,21-Feb-2026 04:29 PM,finance_566302.pdf,BOQ Comparative Chart,PAITDA,Internal,"JE, AE, AEE and PA,ITDA, Rayagada",Trilochan Sethy,11-Dec-2025 05:35 PM,12-Dec-2025 10:00 AM,techsummary_566302.pdf (2395.08 KB),PAITDA,Internal,JE AE AEE and PA ITDA Rayagada,CHANDRAKANTA MAJHI,26-Feb-2026 04:54 PM,finsummary_566302.pdf (1354.24 KB),ST and SC Development Deptt||ITDA Rayagada,2025_STSCD_121715_2,ITDARGDA 03/2025-26,"Construction of 50 seated PSH at Govt. UGHS, Sulipadar, G.P-Korapa, Block-K.Singpur",Technical,Tender Opened,Trilochan Sethy,11-Dec-2025 05:32 PM,technical_566302.pdf,1.0,3277743.0,RAYCREST REALCON PRIVATE LIMITED,INR,"10,360,947",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other tender related documents,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,2,3267544,JITENDRA KUMAR PATI,03-Dec-2025 10:02 PM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bills of Quantity,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3280260,KARAKARIA GAJENDRA,04-Dec-2025 10:37 PM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3279556,MANORANJAN MAJHI,05-Dec-2025 03:09 PM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3282326,NIKHIL KUMAR JAIN,05-Dec-2025 03:43 PM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3280816,NITESH KUMAR JAIN,05-Dec-2025 10:47 AM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3269156,PADMABATI BIDIKA,01-Dec-2025 12:28 PM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3277743,RAYCREST REALCON PRIVATE LIMITED,04-Dec-2025 11:59 AM,Accepted-AOC,1st Lowest selected through transparent lottery system,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3281885,SAHIL KUMAR RAY,05-Dec-2025 02:14 PM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3268874,SANJANA SENAPATI,04-Dec-2025 06:36 PM,Rejected-AOC,1st Lowest,26-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
