Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Scanned copy of Bid Cost, EMD, PAN, GST Certificate, RC of Contractor",1.0,ICICI BANK,"2,38,200",Yes,fixed,,Nil,Nil,11-Dec-2025 11:00 AM,26-Dec-2025 11:30 AM,11-Dec-2025 11:00 AM,25-Dec-2025 05:00 PM,11-Dec-2025 11:00 AM ,17-Dec-2025 05:00 PM ,11-Dec-2025 11:00 AM,25-Dec-2025 05:00 PM,09-Jan-2026 11:30 AM,"PROVIDING BLACK TOPPING OF GHAT ROAD (POWER HOUSE CHHAK, MUKHIGUDA TO ANCHORE BLOCK-4 and 5 JUNCTION) AND NEAR BY VILLAGE WITH PROTECTION WALL TO ROAD, UIDC, KHATIGUDA.","PROVIDING BLACK TOPPING OF GHAT ROAD (POWER HOUSE CHHAK, MUKHIGUDA TO ANCHORE BLOCK-4 and 5 JUNCTION) AND NEAR BY VILLAGE WITH PROTECTION WALL TO ROAD, UIDC, KHATIGUDA.",Please refer Tender documents. ,NA ,"2,38,12,964",Civil Works - Roads,NA ,Tender,90.0,60.0,Khatiguda,764085.0,NA ,NA ,NA ,"O/o The Additional Chief Engineer, UIDC, Khatiguda",No ,No,"10,000",Nil,Nil,No,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Indravati Dam Circle Khatiguda||Podgada Dam Division Khatiguda,ACEUIDC-01(04)/2025-26(02/04),2025_PGDDK_122969_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Additional Chief Engineer,UIDC, Khatiguda","O/o The Additional Chief Engineer, UIDC, Khatiguda, Nabarangpur, Odisha, PIN-764085",AOC,"ACE,UIDC",Internal,"ACE,UIDC,ESTIMATOR,PA to ACE,EE MURAN",Nelson Tadingi,13-Jan-2026 12:01 AM,finsummary_571077.pdf (14859.81 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Indravati Dam Circle Khatiguda||Podgada Dam Division Khatiguda,2025_PGDDK_122969_1,ACEUIDC-01(04)/2025-26(02/04),"PROVIDING BLACK TOPPING OF GHAT ROAD (POWER HOUSE CHHAK, MUKHIGUDA TO ANCHORE BLOCK-4 and 5 JUNCTION) AND NEAR BY VILLAGE WITH PROTECTION WALL TO ROAD, UIDC, KHATIGUDA.",Technical,BID OPENING SUMMARY,Nelson Tadingi,08-Jan-2026 08:14 AM,technical_571077.pdf,1.0,3323653.0,SANDEEP KUMAR BEHERA,INR,"20,243,400",05-Feb-2026,"INR 20,243,400",60.0,Nelson Tadingi,05-Feb-2026 03:33 PM,ACE2.pdf (8504.00 KB),Successful bidder found through transparent lottery.,1,3326642,ABHINANDAN PANDA,25-Dec-2025 11:33 AM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,Finance,BID OPENING SUMMARY,Nelson Tadingi,12-Jan-2026 10:47 PM,finance_571077.pdf,BOQ Comparative Chart,"Additional Chief Engineer,UIDC,Khatiguda",Internal,"ACE,UIDC,Estimator (AEE),UIDC,Asst. to ACE,UIDC,EE,MDD",Nelson Tadingi,08-Jan-2026 08:24 AM,09-Jan-2026 11:30 AM,techsummary_571077.pdf (7403.25 KB),AOC
,,.pdf,Affidavit for exemption of E.M.D.for Engineering Contractors. Price preference for SC/ST Contractor.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3325416,AENISH PATTJOSHI,25-Dec-2025 11:36 AM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
,,.pdf,Certified copy of power of attorney in case of Partnership Firm/ Limited Company/ Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3326183,AJAYA KUMAR SINGHAL,24-Dec-2025 02:39 PM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit for authentication of documents(Schedule-A and B ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3327462,AKANKSHA RASTOGI,25-Dec-2025 12:49 PM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
,,.pdf,"No relationship certificate (Schedule-C),Certificate at Para 60 of Special Conditions of Contract.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3323713,ANJAN KUMAR BEHERA,24-Dec-2025 08:05 PM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
,,.pdf,"Any other document, felt necessary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3325422,Ankit Kumar Agrawal,25-Dec-2025 01:09 PM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3327142,ASISH KUMAR PATTJOSHI,25-Dec-2025 11:53 AM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3327780,Balabhadra Mishra,25-Dec-2025 03:21 PM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3327119,BEDA PRAKASH SAHU,25-Dec-2025 12:03 AM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3327624,Bharat Mirgan,25-Dec-2025 02:15 PM,Rejected-AOC,rejected,05-Feb-2026 03:34 PM,,,,,,,,,,,,,,AOC
