S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, RC, PAN, GSTIN, Affidavit, NRC and any other as per DTCN",02-Dec-2025 10:00 AM,12-Dec-2025 11:30 AM,02-Dec-2025 10:00 AM,11-Dec-2025 05:30 PM,02-Dec-2025 10:00 AM ,08-Dec-2025 05:30 PM ,02-Dec-2025 10:00 AM,11-Dec-2025 05:30 PM,"S.E, UI Left Canal Division No-II, Dharamgarh","S.E, UI Left Canal Division No-II, Dharamgarh",CCE Upper Indravati Irrigation Project Mukhiguda,SE/UILCD-II-03/2025-26(01-03),2025_CEUIP_122412_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"20,920",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,Yes,"Renovation and repair of building and colony maintenance building room of Upper Indravati Left Canal Division No. II , Dharmagarh.","Renovation and repair of building and colony maintenance building room of Upper Indravati Left Canal Division No. II , Dharmagarh.",Please refer Tender documents. ,NA ,"20,91,954",Civil Works - Others,NA ,Tender,90.0,120.0,Dharamgarh,766015.0,NA ,NA ,NA ,"S.E, UI Left Canal Division No-II, Dharamgarh",No ,No,AOC,1,3293379,AMIT KUMAR AGRAWAL,10-Dec-2025 03:34 PM,Accepted-AOC,SELECTED IN TRANSPARENT LOTTERY,03-Feb-2026 01:39 PM,03-Feb-2026,"INR 1,778,370",120.0,AKSHAYA KUMAR BHOI,03-Feb-2026 01:39 PM,AWARD1.pdf (2004.00 KB),WORK ORDER ISSUED,SE LCD 2,Internal,ESTIMATOR ACCOUNTANT CASHIER,AKSHAYA KUMAR BHOI,03-Feb-2026 01:02 PM,techsummary_568757.pdf (5814.83 KB),CCE Upper Indravati Irrigation Project Mukhiguda,2025_CEUIP_122412_1,SE/UILCD-II-03/2025-26(01-03),"Renovation and repair of building and colony maintenance building room of Upper Indravati Left Canal Division No. II , Dharmagarh.",SE LCD 2,Internal,ESTIMATOR ACCONTANT CASHIER,AKSHAYA KUMAR BHOI,03-Feb-2026 01:28 PM,finsummary_568757.pdf (4016.41 KB),Finance,bid opening summery attached,AKSHAYA KUMAR BHOI,03-Feb-2026 12:30 PM,finance_568757.pdf,BOQ Comparative Chart,1.0,3293379.0,AMIT KUMAR AGRAWAL,INR,"1,778,370",AOC
2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3293736,Bhawani Sankar Harpal,10-Dec-2025 05:33 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3294741,BRAJA BANDHU BIHAR,11-Dec-2025 12:05 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3293933,CHAITANYA MAJHI,10-Dec-2025 06:57 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3294305,CHANCHAL AGRAWAL,11-Dec-2025 01:19 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3293681,CH SUBASH CHANDRA PATRO,10-Dec-2025 05:10 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3293718,DAMBARUDHAR DEEP,11-Dec-2025 04:11 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3293098,GAJINDRA PRADHAN,10-Dec-2025 01:43 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3294818,GITANJALI MEHER,11-Dec-2025 03:38 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3286426,Gyanendra Dhar,07-Dec-2025 08:00 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,03-Feb-2026 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
