Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Superintending Engineer,Internal,"AE, AEE, JE, DAO",Samyak Bikash Subudhi,07-Jan-2026 01:44 PM,techsummary_568904.pdf (521.75 KB),16-Jan-2026,"INR 460,434",60.0,Samyak Bikash Subudhi,03-Feb-2026 12:26 PM,aoc2.pdf (297.00 KB),Aoc,1,3284913,ASHOK KUMAR PRADHAN,06-Dec-2025 07:04 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,Finance,successfully downloaded,Samyak Bikash Subudhi,16-Dec-2025 01:24 PM,finance_568904.pdf,BOQ Comparative Chart,1.0,3286729.0,MISIRA KUMAR DHAR,INR,"460,434",CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,2025_CEBBS_122467_2,SE-HWD-05/2025-26,Repair and Maintenance of D-Type Quarters at Samal Barrage Township,Superintending Engineer,Internal,"AE, JE, AEE, DAO",Samyak Bikash Subudhi,07-Jan-2026 01:49 PM,finsummary_568904.pdf (407.60 KB),AOC,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,SE-HWD-05/2025-26,2025_CEBBS_122467_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"4,000",Nil,Nil,No,"Superintending Engineer, HWD, Samal","Office of the SE, HWD, Samal, Angul, 759037",Repair and Maintenance of D-Type Quarters at Samal Barrage Township,Repair and Maintenance of D-Type Quarters at Samal Barrage Township,Please refer Tender documents. ,NA ,,Civil Works - Buildings,Building Renovation ,Tender,90.0,60.0,Samal,759037.0,NA ,NA ,NA ,"Office of the SE, HWD, Samal",No ,No,"5,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"tendercost, EMD, GSTIN, PAN, Contractor RC",03-Dec-2025 10:00 AM,15-Dec-2025 11:30 AM,03-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,03-Dec-2025 10:00 AM ,09-Dec-2025 05:00 PM ,03-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,,2,3297282,BENUDHAR MAJHI,12-Dec-2025 12:52 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"affidavit, undertakings and all other documents as per DTCN",,,,,,,,,AOC
,,,,,,,,,,,,,3,3297865,BIRAJINI SAHOO,12-Dec-2025 03:16 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,AOC
,,,,,,,,,,,,,4,3284998,BISHNU CHARAN SAHOO,06-Dec-2025 08:01 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3293141,GANGULI BHUKTA,10-Dec-2025 01:47 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3297235,KASTU SAHOO,12-Dec-2025 12:45 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3298079,KRUPASINDHU BEHERA,12-Dec-2025 04:01 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3294953,LINGARAJ BEHERA,11-Dec-2025 12:37 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3286729,MISIRA KUMAR DHAR,07-Dec-2025 07:19 PM,Accepted-AOC,winner in the lottery,03-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3297971,NAYANI PRADHAN,12-Dec-2025 03:34 PM,Rejected-Finance,not the winner in lottery,07-Jan-2026 01:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
