Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN",Superintending Engineer prachi division,O/O the Superintending Engineer Prachi Divn Bhubaneswar,03-Dec-2025 11:00 AM,18-Dec-2025 10:30 AM,03-Dec-2025 11:00 AM,17-Dec-2025 05:00 PM,NA ,NA ,03-Dec-2025 11:00 AM,17-Dec-2025 05:00 PM,20-Dec-2025 01:00 PM,"96,600",Yes,fixed,,Nil,Nil,Improvement to right bank service road of Daya West Branch Canal from RD 32.250 Km. to 33.200 Km.,road work,Please refer Tender documents. ,NA ,"96,57,963",Civil Works - Roads,NA ,Tender,90.0,NA ,Bhubaneswar,751003.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-16/2025-26,2025_CELBB_122423_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,SE PRACHI DIVISION,Internal,,Kirti Kasturika,17-Jan-2026 01:21 PM,finsummary_568836.pdf (97.98 KB),Technical,ADMITTED,Kirti Kasturika,18-Dec-2025 12:37 PM,,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_122423_6,SEPRD-16/2025-26,Improvement to right bank service road of Daya West Branch Canal from RD 32.250 Km. to 33.200 Km.,1.0,3310628.0,SAMARESH CHHOTARAY,INR,"8,210,235",11-Feb-2026,"INR 8,210,235",180.0,Raghunath Swain,11-Feb-2026 04:56 PM,6.PDF (160.00 KB),1,3311027,ARATA MARTHA,17-Dec-2025 02:59 PM,Rejected-AOC,Not selected through Lottery,11-Feb-2026 04:56 PM,Finance,FINANCIAL BID,Kirti Kasturika,17-Jan-2026 01:17 PM,finance_568836.pdf,BOQ Comparative Chart,SE PRACHI DIVISION,Internal,SE PRACHI DIVISION,Kirti Kasturika,19-Dec-2025 04:09 PM,20-Dec-2025 01:00 PM,techsummary_568836.pdf (480.80 KB),AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3309534,DHANOJ KUMAR BEURA,16-Dec-2025 08:33 PM,Rejected-Finance,L2 BIDDER,17-Jan-2026 01:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3311214,NIHAR RANJAN JATTA,17-Dec-2025 02:26 PM,Rejected-AOC,Not selected through Lottery,11-Feb-2026 04:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3311178,PRIYABRATA RAJ,17-Dec-2025 02:19 PM,Rejected-AOC,Not selected through Lottery,11-Feb-2026 04:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3302006,PYARI MOHAN JENA,15-Dec-2025 03:24 PM,Rejected-AOC,Not selected through Lottery,11-Feb-2026 04:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3302081,RAJESH KUMAR PARIDA,16-Dec-2025 07:55 AM,Rejected-AOC,Not selected through Lottery,11-Feb-2026 04:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3310628,SAMARESH CHHOTARAY,17-Dec-2025 12:14 PM,Accepted-AOC,Selected through Lottery,11-Feb-2026 04:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3311081,SHIVAJYOTI CIVCON PRIVATE LIMITED,17-Dec-2025 03:13 PM,Rejected-AOC,Not selected through Lottery,11-Feb-2026 04:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3311007,SUBRAT KUMAR MOHANTY,17-Dec-2025 01:47 PM,Rejected-AOC,Not selected through Lottery,11-Feb-2026 04:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3303777,SUNIL KUMAR MOHANTY,15-Dec-2025 02:22 PM,Rejected-Finance,L2 BIDDER,17-Jan-2026 01:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3310761,SURYAKANTA PATTANAYAK,17-Dec-2025 12:55 PM,Rejected-AOC,Not selected through Lottery,11-Feb-2026 04:56 PM,,,,,,,,,,,,,,AOC
