S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, RC, PAN, GST, COURT AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,SERWKPT ONLINE 07/2025-26,2025_CERWI_123049_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair and Renovation of Tahasil Office Building at Dasmantpur for the year 2025 26.,Repair and Renovation of Tahasil Office Building at Dasmantpur for the year 2025 26.,NA ,NA ,"9,96,942",Civil Works - Buildings,NA ,Tender,90.0,60.0,Koraput,764020.0,Superintending Engineer RWD Koraput ,Superintending Engineer RWD Koraput ,12-Dec-2025 11:00 AM ,"RURAL WORKS DIVISION, KORAPUT",No ,No,"9,970",Yes,fixed,,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION, KORAPUT",12-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,12-Dec-2025 11:00 AM,18-Dec-2025 05:30 PM,12-Dec-2025 11:00 AM ,18-Dec-2025 05:30 PM ,12-Dec-2025 11:00 AM,18-Dec-2025 05:30 PM,AOC,07-Feb-2026,"INR 847,501",60.0,Srikrushna Sabar,07-Feb-2026 12:42 PM,TahasilBuilding_A.pdf (360.00 KB),Agreement Drawn,1,3308781,Akshaya Kumar Mishra,17-Dec-2025 03:49 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,07-Feb-2026 12:34 PM,techsummary_571335.pdf (809.79 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,2025_CERWI_123049_1,SERWKPT ONLINE 07/2025-26,Repair and Renovation of Tahasil Office Building at Dasmantpur for the year 2025 26.,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,07-Feb-2026 12:38 PM,finsummary_571335.pdf (809.79 KB),Finance,Summary,Srikrushna Sabar,07-Feb-2026 11:15 AM,finance_571335.pdf,BOQ Comparative Chart,1.0,3314265.0,Balaram Subuddhi,INR,"847,501",AOC
2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3312229,ARJUNA SAUNTA,17-Dec-2025 07:21 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3314265,Balaram Subuddhi,18-Dec-2025 02:52 PM,Accepted-AOC,Qualified after drawl of lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3313577,BIGHNARAJ PATRA,18-Dec-2025 12:45 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3312294,BISHNUPRIYA NAYAK,18-Dec-2025 01:24 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3309987,CHANCHAL KUMAR NAYAK,17-Dec-2025 03:29 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3314075,HEMANTA KUMAR PATRO,18-Dec-2025 02:12 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3313789,JISAYA KHOSLA,18-Dec-2025 01:06 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3305158,KHAGAPATI SAUNTA,15-Dec-2025 07:21 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3301766,PADMA CHARAN BISOI,14-Dec-2025 07:16 PM,Rejected-AOC,Lost in lottery,07-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
