S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,Kanupur Irrigation Project||CCE-Kanupur||Kanupur R C AND B,SE KRC AND BD-02/22-23,2022_KPRIP_77469_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GSTIN,PAN,BSD,NRC,AFFIDAVIT,LABOUR UNDERTAKING AND OTHER DOCUMENTS AS PER THE DTCN",SE Kanupur Reh. C and B Division Basudevpur,Office of the Superintending Engineer Kanupur Rehabilitation Camps and Building Division Basudevpur Dist-Keonjhar,0.0,No,fixed,,Nil,Nil,06-May-2022 10:00 AM,18-May-2022 11:00 AM,06-May-2022 10:00 AM,17-May-2022 05:00 PM,NA ,NA ,06-May-2022 10:00 AM,17-May-2022 05:00 PM,Construction of Thakurani ghar with boundary wall at Birikala R and R Colony for DPs of Village Birikala and Gobindapur of KIP,Construction of Thakurani ghar with boundary wall at Birikala R and R Colony for DPs of Village Birikala and Gobindapur of KIP,Please Refer Tender Document ,NA ,"8,63,584",Civil Works - Buildings,NA ,Tender,90.0,180.0,SE Kanupur Reh. C and B Division Basudevpur,758047.0,NA ,NA ,NA ,O/o the SE Kanupur RC and B Division Basudevpur,No ,No,"4,000",0.0,Nil,Nil,No,AOC,Superintending Engineer,Internal,,Ajay Kumar Nayak,26-Feb-2026 10:59 PM,techsummary_397791.pdf (413.39 KB),Kanupur Irrigation Project||CCE-Kanupur||Kanupur R C AND B,2022_KPRIP_77469_2,SE KRC AND BD-02/22-23,Construction of Thakurani ghar with boundary wall at Birikala R and R Colony for DPs of Village Birikala and Gobindapur of KIP,1.0,1843995.0,ASHUTOSH SETHI,INR,"734,133",1,1843995,ASHUTOSH SETHI,17-May-2022 12:54 PM,Accepted-AOC,winner of the lottery,27-Feb-2026 09:09 AM,Superintending Engineer,Internal,,Ajay Kumar Nayak,27-Feb-2026 09:02 AM,finsummary_397791.pdf (335.02 KB),Finance,Total 4 no of bidders have participated for this work,Udaya Nath Sahu,18-May-2022 11:30 AM,,BOQ Comparative Chart,27-Feb-2026,"INR 734,133",180.0,Ajay Kumar Nayak,27-Feb-2026 09:08 AM,aocthakurani.pdf (479.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,1842764,PADMINI NAIK,17-May-2022 04:27 PM,Rejected-AOC,looser of the lottery,27-Feb-2026 09:09 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,1843847,PRADIP KUMAR DAS,17-May-2022 11:20 AM,Rejected-AOC,looser of the lottery,27-Feb-2026 09:09 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,1842647,SUSANTA KUMAR ROUT,14-May-2022 12:54 AM,Rejected-Finance,2nd lowest bidder hence not qualify for Lottery,27-Feb-2026 09:02 AM,,,,,,,,,,,,,,,,,,,AOC
