S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online -EERKL-22 of 2025-26,2025_CERWI_122483_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN Card, GSTN, Registration Certificate and other documents as per DTCN",03-Dec-2025 12:00 PM,09-Dec-2025 09:00 AM,03-Dec-2025 12:00 PM,08-Dec-2025 05:00 PM,03-Dec-2025 12:00 PM ,07-Dec-2025 05:00 PM ,03-Dec-2025 12:00 PM,08-Dec-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,S/R to Usra Basti to Kheraposh for the year 2025-26,S/R to Usra Basti to Kheraposh for the year 2025-26,Please refer Tender documents. ,NA ,"5,59,665",Civil Works - Roads,NA ,Tender,90.0,30.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,"5,590",Yes,fixed,,Nil,Nil,"Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourk",AOC,1,3289817,ASHOK SUNANI,08-Dec-2025 04:16 PM,Rejected-AOC,Rejected,02-Feb-2026 12:04 PM,02-Feb-2026,"INR 475,771",30.0,Dasharathi Sethy,02-Feb-2026 12:04 PM,01.pdf (310.00 KB),Awarded Cost,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,02-Feb-2026 11:58 AM,techsummary_569020.pdf (309.68 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_122483_1,Online -EERKL-22 of 2025-26,S/R to Usra Basti to Kheraposh for the year 2025-26,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,02-Feb-2026 12:00 PM,finsummary_569020.pdf (309.68 KB),Finance,2 bidders applied,Dasharathi Sethy,02-Feb-2026 11:55 AM,,BOQ Comparative Chart,1.0,3281397.0,SACHIN LUGUN,INR,"475,771",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3281397,SACHIN LUGUN,05-Dec-2025 01:01 PM,Accepted-AOC,Awarded,02-Feb-2026 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
