Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Finance,Technical Bid downloaded successfully,ANANTARAM NAIK,22-Aug-2025 08:47 PM,finance_544283.pdf,BOQ Comparative Chart,1.0,2992083.0,PABITRA KUMAR CHANDUA,INR,"3,455,090.078","CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna||EE Kalahandi Irr Divn. Bhawanipatna",2025_CEBMT_114821_3,e-KLID-01/2025-26,Protection to scoured left bank of river Udanti near village Kuhura from RD 00m to 195.0m of Golamunda Block in Kalahandi District,SEKID,Internal,"SEKID,AEEESTR,DAO,AEESTR",ANANTARAM NAIK,08-Oct-2025 02:17 PM,finsummary_544283.pdf (441.50 KB),SEKID,Internal,"SEKID,AEEESTR,DAO,AE",ANANTARAM NAIK,07-Oct-2025 09:31 PM,techsummary_544283.pdf (991.43 KB),1,2989678,ANJAN KUMAR BEHERA,08-Jul-2025 10:44 AM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,17-Oct-2025,"INR 3,455,090.078",180.0,ANANTARAM NAIK,05-Feb-2026 01:36 PM,AOC.pdf (713.00 KB),AOC,AOC,"40,700",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, Contractor RC, PAN,Affidavit, NRC and any other as per DTCN",25-Jun-2025 11:00 AM,09-Jul-2025 11:00 AM,25-Jun-2025 11:00 AM,08-Jul-2025 05:30 PM,25-Jun-2025 11:00 AM ,30-Jun-2025 05:30 PM ,25-Jun-2025 11:00 AM,08-Jul-2025 05:30 PM,Protection to scoured left bank of river Udanti near village Kuhura from RD 00m to 195.0m of Golamunda Block in Kalahandi District,Protection to scoured left bank of river Udanti near village Kuhura from RD 00m to 195.0m of Golamunda Block in Kalahandi District,Please refer Tender documents. ,NA ,"40,64,334",Civil Works - Others,NA ,Tender,90.0,180.0,Kuhura,766036.0,NA ,NA ,NA ,"Office of the SE, Kalahandi Irrigation Division",No ,No,1.0,ICICI BANK,"CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna||EE Kalahandi Irr Divn. Bhawanipatna",e-KLID-01/2025-26,2025_CEBMT_114821_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Office of the SE, Kalahandi Irrigation Division","Office of the SE, Kalahandi Irrigation Division, Bhawanipatna",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2990863,Ashutosh Mishra,06-Jul-2025 12:23 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2985618,Banishree Mishra,02-Jul-2025 12:14 AM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2985989,BIBHUTI RANJAN PATTNAIK,04-Jul-2025 10:23 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2989405,Bikash Chandra Panigrahi,05-Jul-2025 01:09 AM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2993284,BISWAJIT SARANGI,08-Jul-2025 02:35 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2993378,Bolakrushna Behera,08-Jul-2025 03:35 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2992735,BYASADEBA SAHU,07-Jul-2025 09:49 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2993397,GITANJALI MEHER,08-Jul-2025 04:49 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2988638,GITANJALI PADHAN,04-Jul-2025 03:28 PM,Rejected-Finance,Through Transparent Lottery Process,08-Oct-2025 02:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
