Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,2025_PHEO_120935_1,"SEPH-DIVISION, CTC- 30 (07) of 2025-26",Procurement and Installation of DG sets for pump houses in Jagatsinghpur Municipality.,1.0,3235569.0,MPower Energy Solutions,INR,"2,612,776",Er. Ajaya Naik,Internal,"JE (Estimator), PH Division, Cuttack, DAO-I, PH Division, Cuttack, SE, PH Division, Cuttack",Ajaya Kumar Naik,17-Feb-2026 05:12 PM,techsummary_562769.pdf (1995.84 KB),17-Feb-2026,"INR 2,612,776",90.0,Ajaya Kumar Naik,17-Feb-2026 05:21 PM,comparative.pdf (1996.00 KB),Finance,The validity of tenders depends on the result of scrutiny of the scanned documents and Financial bid submitted by the tenderers online.,Ajaya Kumar Naik,19-Nov-2025 02:02 PM,,BOQ Comparative Chart,Er. Ajaya Naik,Internal,"JE (Estimator), PH Division, Cuttack, DAO-I, PH Division, Cuttack, SE, PH Division, Cuttack",Ajaya Kumar Naik,17-Feb-2026 05:17 PM,finsummary_562769.pdf (1995.84 KB),1,3235582,ABC CONSTRUCTIONS,18-Nov-2025 04:24 PM,Rejected-AOC,Do not won the lottery,17-Feb-2026 05:21 PM,AOC,"6,000",0.0,Nil,Nil,No,PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,"SEPH-DIVISION, CTC- 30 (07) of 2025-26",2025_PHEO_120935_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Procurement and Installation of DG sets for pump houses in Jagatsinghpur Municipality.,Procurement and Installation of DG sets for pump houses in Jagatsinghpur Municipality.,Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,120.0,90.0,"Mahanadivihar, Cuttack",753004.0,NA ,NA ,NA ,"OO Superintending Engineer, PH Division, Cuttack",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD,Valid Regd.Certificate,GST,PAN,Affidavit as per DTCN",1.0,ICICI BANK,07-Nov-2025 06:00 PM,19-Nov-2025 11:00 AM,07-Nov-2025 06:00 PM,18-Nov-2025 05:00 PM,07-Nov-2025 06:00 PM ,11-Nov-2025 05:00 PM ,07-Nov-2025 06:00 PM,18-Nov-2025 05:00 PM,"30,800",Yes,fixed,,Nil,Nil,"OO Superintending Engineer, PH Division, Cuttack","OO Superintending Engineer, PH Division, Cuttack, Nayabazar, Cuttack",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3231414,ANIL KUMAR SAHU,18-Nov-2025 09:55 AM,Rejected-AOC,Do not won the lottery,17-Feb-2026 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3223752,CLAVAX POWER PRIVATE LIMITED,14-Nov-2025 11:40 AM,Rejected-AOC,Do not won the lottery,17-Feb-2026 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3234582,DIPAK KUMAR NAYAK,18-Nov-2025 12:15 PM,Rejected-Technical,Not Satisfied eligibility criteria as per DTCN,17-Feb-2026 05:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3232568,GSP POWER PROJECTS RETAIL DIVISION,17-Nov-2025 08:11 PM,Rejected-Technical,Not Satisfied eligibility criteria as per DTCN,17-Feb-2026 05:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3235569,MPower Energy Solutions,18-Nov-2025 03:35 PM,Accepted-AOC,Won the lottery,17-Feb-2026 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3226800,PRADEEPTA KUMAR MOHANTY,17-Nov-2025 12:27 PM,Rejected-Technical,Not Satisfied eligibility criteria as per DTCN,17-Feb-2026 05:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3223959,RAMESH KUMAR PANDA,14-Nov-2025 12:21 PM,Rejected-AOC,Do not won the lottery,17-Feb-2026 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3229427,RM ENTERPRISES,17-Nov-2025 09:07 PM,Rejected-AOC,Do not won the lottery,17-Feb-2026 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3226879,SASMITA MOHANTY,17-Nov-2025 12:57 PM,Rejected-Technical,Not Satisfied eligibility criteria as per DTCN,17-Feb-2026 05:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
