Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,16 Bid found,Raju Dhaunlia,07-Feb-2026 07:49 PM,finance_551640.pdf,BOQ Comparative Chart,1.0,3068816.0,BISHNU KUMAR DAS,INR,"1,669,124",CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2025_CERWI_117716_1,Online AGL-04,Construction of Compound wall for Ayurvedic dispensary Building at Ghantianali in Kaniha block of Angul District. WITHOUT APPROACH ROAD,EE,Internal,DAO Est,Raju Dhaunlia,07-Feb-2026 07:57 PM,finsummary_551640.pdf (198.63 KB),EE,Internal,DAO Est,Raju Dhaunlia,07-Feb-2026 07:53 PM,techsummary_551640.pdf (198.63 KB),07-Feb-2026,"INR 1,669,124",90.0,Raju Dhaunlia,07-Feb-2026 08:02 PM,Ghanti73.pdf (503.00 KB),73P-1,1,3077831,BABULA KUMAR PRADHAN,12-Sep-2025 04:50 PM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-04,2025_CERWI_117716_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"RURAL WORKS DIVISION, ANGUL",Construction of Compound wall for Ayurvedic dispensary Building at Ghantianali in Kaniha block of Angul District. WITHOUT APPROACH ROAD,Construction of Compound wall for Ayurvedic dispensary Building at Ghantianali in Kaniha block of Angul District. WITHOUT APPROACH ROAD,NA ,NA ,"16,63,936",Civil Works - Buildings,NA ,Tender,90.0,90.0,Angul,759143.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, ANGUL",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD RC GST PAN Affidavit regarding correctness Other documents as per DTCN,1.0,ICICI BANK,"16,700",Yes,fixed,,Nil,Nil,05-Sep-2025 06:00 PM,15-Sep-2025 11:00 AM,05-Sep-2025 06:00 PM,12-Sep-2025 05:00 PM,05-Sep-2025 06:00 PM ,11-Sep-2025 05:00 PM ,05-Sep-2025 06:00 PM,12-Sep-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3076775,BAPUJI KUMAR SAHOO,11-Sep-2025 06:22 PM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3074313,BATAKRUSHNA BEHERA,10-Sep-2025 07:09 PM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3068816,BISHNU KUMAR DAS,08-Sep-2025 01:23 PM,Accepted-AOC,Ok,07-Feb-2026 08:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3076951,Chadan Maharana,11-Sep-2025 09:03 PM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3077275,DEVENDRA KUMAR AGARWALLA,12-Sep-2025 12:21 PM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3077040,MANIKA SAHOO,11-Sep-2025 11:54 PM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3075662,M/S NANDA KISHORE NATH,11-Sep-2025 11:19 AM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3073765,MURALIDHAR SAMAL,10-Sep-2025 12:47 PM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3076859,NAYANI PRADHAN,12-Sep-2025 05:32 AM,Rejected-Finance,Not Won,07-Feb-2026 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
