S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"2,538",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",Construction of Paver Block road from Dutia House towards Suna House in ward No 5,Construction of Paver Block road from Dutia House towards Suna House in ward No 5,Please refer Tender documents. ,NA ,"2,53,820",Civil Works - Roads,NA ,Tender,90.0,30.0,"NAC, Redhakhol",768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,17-Dec-2025 10:00 AM,29-Dec-2025 04:30 PM,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,NA ,NA ,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,Municipal Bodies||Redhakhol NAC,RDL NAC-4/2025-26,2025_ORULB_123226_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,17-Feb-2026 03:58 PM,finsummary_571821.pdf (1647.40 KB),Municipal Bodies||Redhakhol NAC,2025_ORULB_123226_4,RDL NAC-4/2025-26,Construction of Paver Block road from Dutia House towards Suna House in ward No 5,1.0,3332445.0,ROJALIN DEHURY,INR,"253,566",Finance,18 bidder participated and admitted for Technical Evaluation,RANJAN KUMAR MARTHA,30-Jan-2026 04:44 PM,,BOQ Comparative Chart,24-Feb-2026,"INR 253,566",30.0,RANJAN KUMAR MARTHA,25-Feb-2026 12:41 PM,754.pdf (619.00 KB),1,3326754,AKHUJA NAIK,24-Dec-2025 06:25 PM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,06-Feb-2026 05:15 PM,techsummary_571821.pdf (446.60 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3325472,Banamali Behera,24-Dec-2025 11:40 AM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3333241,Birendra Kumar Sahoo,28-Dec-2025 09:47 AM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3328962,BISWARANJAN PRADHAN,26-Dec-2025 10:51 AM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3332039,HARISHCHANDRA SAHOO,27-Dec-2025 08:20 PM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3326487,KAUSTAVA MANI RAUL,24-Dec-2025 04:12 PM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3332168,Lilabati Meher,27-Dec-2025 05:26 PM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3334792,NATABARA MEHER,28-Dec-2025 08:45 PM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3332445,ROJALIN DEHURY,27-Dec-2025 07:17 PM,Accepted-AOC,L1,25-Feb-2026 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3333085,SANJAYA SAHOO,28-Dec-2025 06:21 AM,Rejected-Finance,As per Lottery,17-Feb-2026 03:58 PM,,,,,,,AOC
