Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Construction of Day care Sub-Centre cum Health wellness centre at Tilajodia under Suliapada Block in the Mayurbhanj District for the year 2023-24.,Construction of Day care Sub-Centre cum Health wellness centre at Tilajodia under Suliapada Block in the Mayurbhanj District for the year 2023-24.,Please refer Tender documents. ,NA ,"50,72,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,"50,720",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,RC PAN GSTIN Affidavit and scan copy of Agreement with Electrical contractor and their RC PAN GSTIN,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,10(Online)/RWD/BPD/2025-26,2025_CERWI_122126_20,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,29-Nov-2025 11:00 AM,08-Dec-2025 05:30 PM,29-Nov-2025 11:00 AM,08-Dec-2025 05:00 PM,29-Nov-2025 11:00 AM ,08-Dec-2025 03:00 PM ,29-Nov-2025 11:00 AM,08-Dec-2025 05:00 PM,19-Dec-2025 09:00 AM,AOC,Technical,.,Dibyamayee Behera,18-Dec-2025 05:07 PM,technical_567773.pdf,R.Pradhan,Internal,,Rajesh Pradhan,25-Dec-2025 07:05 PM,finsummary_567773.pdf (194.38 KB),Finance,.,Rajesh Pradhan,25-Dec-2025 07:03 PM,finance_567773.pdf,BOQ Comparative Chart,R.Pradhan,Internal,,Dibyamayee Behera,18-Dec-2025 06:00 PM,19-Dec-2025 09:00 AM,techsummary_567773.pdf (3360.55 KB),28-Jan-2026,"INR 4,311,661",270.0,Rajesh Pradhan,02-Feb-2026 11:46 AM,361.pdf (468.00 KB),1,3290008,BISESWAR BEHERA,08-Dec-2025 04:47 PM,Accepted-AOC,Lottery winner,02-Feb-2026 11:46 AM,1.0,3290008.0,BISESWAR BEHERA,INR,"4,311,661",CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_122126_20,10(Online)/RWD/BPD/2025-26,Construction of Day care Sub-Centre cum Health wellness centre at Tilajodia under Suliapada Block in the Mayurbhanj District for the year 2023-24.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3281696,JAYPRAKASH MOHANTA,06-Dec-2025 09:47 PM,Rejected-AOC,unsuccessful tenderer,02-Feb-2026 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3285306,UMESH CHANDRA BEHERA,07-Dec-2025 08:48 AM,Rejected-AOC,unsuccessful tenderer,02-Feb-2026 11:46 AM,,,,,,,,,,AOC
