Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",Nil,Nil,No,24-Jul-2025 10:00 AM,04-Aug-2025 11:00 AM,24-Jul-2025 10:00 AM,02-Aug-2025 05:00 PM,24-Jul-2025 10:00 AM ,01-Aug-2025 05:00 PM ,24-Jul-2025 10:00 AM,02-Aug-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GSTN, Affidavit and other documents as per DTCN",1.0,ICICI BANK,"14,193",Yes,percentage,1.0%,Nil,Nil,"Construction of Additional Class Room at Primary School Rengalpadu ,GP-Kumardhamuni","Construction of Additional Class Room at Primary School Rengalpadu ,GP-Kumardhamuni",Please refer Tender documents. ,NA ,"14,19,257",Civil Works - Buildings,NA ,Tender,90.0,90.0,Rengalpadu,765019.0,NA ,NA ,NA ,"Block Development Officer, Bissamcuttak",No ,No,"BDO, Bissamcuttak","Block Development Officer, Bissamcuttak",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||BISSAM CUTTACK Block,BMCK-01/2025-26,2025_PZPBC_115879_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,19-Feb-2026,"INR 1,206,502",90.0,Siva Prasad Patnaik,19-Feb-2026 05:12 PM,rengalpadu.pdf (476.00 KB),Awarded as a 1st Lowest in the Lottery Process,1,3014511,CHANDAN KUMAR MANDIKA,28-Jul-2025 05:24 PM,Accepted-AOC,1st Lowest,19-Feb-2026 05:12 PM,"BDO, Bissamcuttack",Internal,"Asst. Executive Engineer, Junior Engineer, Section Officer, Dealing Clerk",Siva Prasad Patnaik,19-Feb-2026 03:30 PM,techsummary_547012.pdf (1336.64 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||BISSAM CUTTACK Block,2025_PZPBC_115879_5,BMCK-01/2025-26,"Construction of Additional Class Room at Primary School Rengalpadu ,GP-Kumardhamuni","BDO, Bissamcuttack",Internal,"Asst. Executive Engineer, Junior Engineer, Section Officer, Dealing Clerk",Siva Prasad Patnaik,19-Feb-2026 04:41 PM,finsummary_547012.pdf (1336.64 KB),Finance,"BDO, Bissamcuttack Asst. Executive Engineer, Junior Engineer, Section Officer, Dealing Clerk",Siva Prasad Patnaik,19-Feb-2026 01:16 PM,finance_547012.pdf,BOQ Comparative Chart,1.0,3014511.0,CHANDAN KUMAR MANDIKA,INR,"1,206,502",AOC
,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3012698,JYOTIRMAY PANDA,26-Jul-2025 10:59 PM,Rejected-AOC,2nd lowest,19-Feb-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3015179,MAA MANIKESWARI CONSTRUCTIONS,28-Jul-2025 03:09 PM,Rejected-AOC,2nd Lowest,19-Feb-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3019309,NANDA KISHOR PRASAD CHOURASIA,31-Jul-2025 03:00 PM,Rejected-AOC,2nd Lowest,19-Feb-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
