S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit,GSTIN,PAN,RC,other papers as per DTCN,BOQ","6,000",0.0,Nil,Nil,No,19-Jan-2026 06:00 PM,29-Jan-2026 11:00 AM,19-Jan-2026 06:00 PM,28-Jan-2026 05:00 PM,19-Jan-2026 06:00 PM ,27-Jan-2026 05:00 PM ,19-Jan-2026 06:00 PM,28-Jan-2026 05:00 PM,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,Online Tender 12/MOHANA/2025-26,2026_CERWI_124795_12,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"31,800",Yes,fixed,,Nil,Nil,EXECUTIVE ENGINEER,"O/o Executive Engineer, RW Division, Mohana Near Civil Court",SR to Raipanka to Mandrabaju road for the year 2025-26,SR to Raipanka to Mandrabaju road for the year 2025-26,Please refer Tender documents. ,NA ,"31,77,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Mohana,761015.0,NA ,NA ,NA ,"O/o Executive Engineer, RW Division, Mohana",No ,No,AOC,EXECUTIVE ENGINEER,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,26-Feb-2026 06:08 PM,techsummary_576702.pdf (1157.44 KB),EXECUTIVE ENGINEER,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,26-Feb-2026 06:17 PM,finsummary_576702.pdf (1157.44 KB),Finance,OK,Bidyut Prabha Padhy,26-Feb-2026 06:03 PM,,BOQ Comparative Chart,26-Feb-2026,"INR 2,318,581",30.0,Bidyut Prabha Padhy,26-Feb-2026 06:24 PM,12.pdf (1157.00 KB),Successful Bidder,1,3368924,Balya Ram Dalai,27-Jan-2026 04:49 PM,Rejected-AOC,All documents submitted,26-Feb-2026 06:24 PM,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,2026_CERWI_124795_12,Online Tender 12/MOHANA/2025-26,SR to Raipanka to Mandrabaju road for the year 2025-26,1.0,3365762.0,RANASTALA SANKAR RAO,INR,"2,318,581",AOC
2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,3366002,GOURISANKAR MISHRA,26-Jan-2026 08:29 PM,Rejected-AOC,All documents submitted,26-Feb-2026 06:24 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,3370674,KUSA GOUDA,28-Jan-2026 04:13 PM,Rejected-AOC,All documents submitted,26-Feb-2026 06:24 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,3365762,RANASTALA SANKAR RAO,27-Jan-2026 07:55 AM,Accepted-AOC,Successful Bidder,26-Feb-2026 06:24 PM,,,,,,,,,,AOC
