S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,ICICI BANK,17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC",Construction of Paver Road from Rama house to Sk Dayan house in ward No.20.,Construction of Paver Road from Rama house to Sk Dayan house in ward No.20.,Please refer Tender documents. ,NA ,"5,94,774",Civil Works - Others,NA ,Tender,90.0,90.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality","6,000",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,AOC,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,17-Feb-2026 04:46 PM,techsummary_536219.pdf (240.28 KB),Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,17-Feb-2026 04:48 PM,finsummary_536219.pdf (240.28 KB),Finance,ok,TAPASA KUMAR SAMAL,01-May-2025 09:29 AM,,BOQ Comparative Chart,17-Feb-2026,"INR 594,774",90.0,Sourav Chakrabarty,17-Feb-2026 04:51 PM,39.pdf (571.00 KB),work order issued,1,2896627,Padan Majhi,27-Apr-2025 02:19 PM,Rejected-AOC,Quoted second lowest,17-Feb-2026 04:51 PM,1.0,2896473.0,RANJEET BEHERA,INR,"594,774",Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_39,BM-BDK-01-2025-26,Construction of Paver Road from Rama house to Sk Dayan house in ward No.20.,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,2896473,RANJEET BEHERA,27-Apr-2025 12:04 PM,Accepted-AOC,Quoted first lowest,17-Feb-2026 04:51 PM,,,,,,,,,,AOC
