S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3316384.0,TRILOCHAN SETH,INR,"4,542,006.15","Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,08-Jan-2026 08:11 PM,finsummary_569423.pdf (915.43 KB),"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2025_CEMIB_122575_7,SE MID SNG16/2025-26,Construction of Kusumdhuda Check dam over local nalla near village Kumbahal of Karamdihi GP in Subdega Block of Sundargarh District under MATY Scheme 2025-26,Technical,All the 11 nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence their financial bids have been opened.,DHIRENDRA KUMAR NAIK,24-Dec-2025 07:09 PM,technical_569423.pdf,Finance,"Trilochan Seth B class SC contractor comes to 14.99 percent less than the amount put to tender after considering 10percent price preference and stands jointly at L1 with other 10nos bidders, hence 11nos bidders may be invited for lottery process",DHIRENDRA KUMAR NAIK,08-Jan-2026 08:08 PM,finance_569423.pdf,BOQ Comparative Chart,"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,24-Dec-2025 07:12 PM,26-Dec-2025 09:00 AM,techsummary_569423.pdf (938.96 KB),17-Jan-2026,"INR 4,542,006.15",120.0,DHIRENDRA KUMAR NAIK,05-Feb-2026 05:43 PM,kusumdhuda.pdf (991.00 KB),The tender of Sri trilochan seth B class SC contractor decided in Transparent Lottery Amounting to Rs 4542006.15 being 14.99 percent less than the Tendered value is accepted.,1,3315669,BIREN DUNGRI,18-Dec-2025 10:06 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,05-Dec-2025 10:00 AM,20-Dec-2025 11:00 AM,05-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,05-Dec-2025 10:00 AM ,19-Dec-2025 05:30 PM ,05-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,26-Dec-2025 09:00 AM,1.0,ICICI BANK,"53,429",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,"S.E. M.I. Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi",1.0,Fee/PreQual/Technical,.pdf,"Affidavit, PAN, GSTIN, CDMS License, No Relation Certificate",Construction of Kusumdhuda Check dam over local nalla near village Kumbahal of Karamdihi GP in Subdega Block of Sundargarh District under MATY Scheme 2025-26,Construction of Kusumdhuda Check dam over local nalla near village Kumbahal of Karamdihi GP in Subdega Block of Sundargarh District under MATY Scheme 2025-26,B class contractor ,NA ,"53,42,908",Civil Works - Others,check dam ,Tender,90.0,120.0,Subdega Block,770014.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG16/2025-26,2025_CEMIB_122575_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3317069,DHANESWAR MAJHI,19-Dec-2025 01:56 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3316768,GOURI SHANKAR LAKRA,19-Dec-2025 12:56 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3316882,KEDAR NATH SAHOO,19-Dec-2025 01:18 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3298429,NIBHA MISHRA,19-Dec-2025 01:09 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3304994,PRABHAT KUMAR,19-Dec-2025 01:51 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3317238,PRAHALAD GANDHA,19-Dec-2025 02:42 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3316550,PRIYA RANJAN PATTNAIK,19-Dec-2025 12:16 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3317642,RAKESH KUMAR SAMAL,19-Dec-2025 04:17 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3316780,RITUPARNA GOSWAMI,19-Dec-2025 01:12 PM,Rejected-AOC,Rejected,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3316384,TRILOCHAN SETH,19-Dec-2025 12:44 PM,Accepted-AOC,Accepted,05-Feb-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
