S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_23,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Installation of Mendhabahal-I, Mendhabahal-II and Mendhabahal-III L.I. Project under Jamankira block in Sambalpur District","Installation of Mendhabahal-I, Mendhabahal-II and Mendhabahal-III L.I. Project under Jamankira block in Sambalpur District",Please refer Tender documents. ,NA ,"97,64,751",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Jamankira,768107.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,"11,800",0.0,Nil,Nil,No,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi","97,648",Yes,percentage,1.0%,Nil,Nil,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents",AOC,04-Feb-2026,"INR 8,301,014.53",120.0,CHITARANJAN PRADHAN,04-Feb-2026 11:48 AM,23.pdf (752.00 KB),Agreement Done,1,3268573,Anup kumar agrawal,01-Dec-2025 04:53 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 11:48 AM,Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 12:19 PM,finance_565756.pdf,BOQ Comparative Chart,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 04:20 PM,22-Dec-2025 10:00 AM,techsummary_565756.pdf (1393.59 KB),Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,04-Feb-2026 11:35 AM,finsummary_565756.pdf (513.44 KB),Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_23,EEOLICSBP-03/2025-26,"Installation of Mendhabahal-I, Mendhabahal-II and Mendhabahal-III L.I. Project under Jamankira block in Sambalpur District",Technical,Tender Open,CHITARANJAN PRADHAN,03-Dec-2025 03:54 PM,technical_565756.pdf,1.0,3262213.0,ASHIS KUMAR PATEL,INR,"8,301,014.53",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,2,3262213,ASHIS KUMAR PATEL,29-Nov-2025 03:12 PM,Accepted-AOC,Award of Contract,04-Feb-2026 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3267713,BANSHIDHAR JIT,30-Nov-2025 04:01 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3267460,BIJAYA KUMAR NAIK,29-Nov-2025 11:31 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3266809,GAURAV PATEL,29-Nov-2025 11:12 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3268674,JAYAJIT KUMAR SAHOO,01-Dec-2025 04:15 AM,Rejected-AOC,Not Award of Contract,04-Feb-2026 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3267369,KAUSHAL BEHERA,29-Nov-2025 09:39 PM,Rejected-Technical,He has Electric licenses not uploaded,21-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3265165,KULDEEP KISAN,29-Nov-2025 01:48 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3268257,MS Shree Shyam and Co,01-Dec-2025 12:29 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3268308,"OJAS CIVCON, PROPRIETOR-BIJAN MOHANTY",01-Dec-2025 10:53 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
