S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Construction of day care SC Building at Murtahandi under Kotpad Block,Building Work,Please refer Tender documents. ,NA ,"38,55,099",Civil Works - Buildings,NA ,Tender,90.0,180.0,Jeypore,764001.0,NA ,NA ,NA ,Jeypore,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, GST, PAN, Valid License, Correctness etc.","38,551",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,TCN-02/2025-26/EE,2025_CERWI_116603_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EE,Jayanagar,"6,000",0.0,Nil,Nil,No,07-Jun-2026 10:30 AM,19-Aug-2025 10:00 AM,11-Jun-2026 10:30 AM,22-Jun-2026 05:30 PM,07-Aug-2025 06:00 PM ,22-Jun-2026 05:30 PM ,11-Jun-2026 10:30 AM,18-Jun-2026 05:30 PM,AOC,1,3035388,RAMACHANDRA KHOSLA,14-Aug-2025 10:53 PM,Accepted-AOC,Successful,06-Feb-2026 05:06 PM,06-Feb-2026,"INR 3,277,220",180.0,Jelin Sheela Kerkatta,06-Feb-2026 05:06 PM,woSCmurtahandi.pdf (420.00 KB),Ramachandra Khosla,EE,Internal,,Debashis Mandal,27-Oct-2025 12:42 PM,techsummary_548692.pdf (768.25 KB),EE,Internal,,Debashis Mandal,27-Oct-2025 12:45 PM,finsummary_548692.pdf (768.25 KB),CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,2025_CERWI_116603_4,TCN-02/2025-26/EE,Construction of day care SC Building at Murtahandi under Kotpad Block,1.0,3035388.0,RAMACHANDRA KHOSLA,INR,"3,277,220",Finance,Bid opened,Debashis Mandal,19-Aug-2025 01:02 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3035116,SANTOSHI BISHOI,13-Aug-2025 08:07 PM,Rejected-Finance,2nd lowest,27-Oct-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3039985,TUSHAR BISOI,18-Aug-2025 01:16 PM,Rejected-Finance,3rd lowest,27-Oct-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
