Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GSTIN, CDMS License, No Relation Certificate","S.E. M.I. Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi",1,ICICI BANK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG 11/2025-26,2025_CEMIB_121102_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"3,554",Yes,percentage,1.0%,Nil,Nil,Improvement to Dalkudar-III Check dam in Lathikata Block of Sundargarh District under Improvement to Check dam Scheme.,Improvement to Dalkudar-III Check dam in Lathikata Block of Sundargarh District under Improvement to Check dam Scheme.,C and D class contractor ,NA ,"3,55,408",Civil Works - Others,Impvt. to CD ,Tender,90.0,60.0,Lathikata Block,770037.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,12-Nov-2025 10:00 AM,22-Nov-2025 11:00 AM,12-Nov-2025 10:00 AM,21-Nov-2025 05:30 PM,12-Nov-2025 10:00 AM ,21-Nov-2025 05:30 PM ,12-Nov-2025 10:00 AM,21-Nov-2025 05:30 PM,AOC,31-Dec-2025,"INR 302,132.03",60.0,DHIRENDRA KUMAR NAIK,05-Feb-2026 01:13 PM,dalkudar.pdf (908.00 KB),The tender of smt. Sumitra Kerketta C class ST contractor decided in Transparent Lottery Amounting to Rs 302132.03 being 14.99 percent less than the Tendered value is accepted.,1,3243072,S.K. INFRA PROJECTS,20-Nov-2025 10:01 PM,Rejected-AOC,Rejected,05-Feb-2026 01:13 PM,"Er. D.K. Naik, SE MI Division, Sundargarh",Internal,"Sri R. Singh DAO, Sri S. Lakra AEE (Estr), Smt N. Soreng AE (Estr), Miss G. Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,19-Dec-2025 11:38 AM,techsummary_563549.pdf (350.52 KB),"Er. D.K. Naik, SE MI Division, Sundargarh",Internal,"Sri R. Singh DAO, Sri S. Lakra AEE (Estr), Smt N. Soreng AE (Estr), Miss G. Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,19-Dec-2025 11:50 AM,finsummary_563549.pdf (350.52 KB),"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2025_CEMIB_121102_7,SE MID SNG 11/2025-26,Improvement to Dalkudar-III Check dam in Lathikata Block of Sundargarh District under Improvement to Check dam Scheme.,1.0,3241032.0,SUMITRA KERKETA,INR,"302,132.03",Finance,All the 02 nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence all the valid tenders have been taken into CS.,DHIRENDRA KUMAR NAIK,19-Dec-2025 11:16 AM,finance_563549.pdf,BOQ Comparative Chart,AOC
,,,,,,,.xls,Bill of Quantity,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3241032,SUMITRA KERKETA,20-Nov-2025 12:42 PM,Accepted-AOC,Accepted,05-Feb-2026 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
