Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Superintending Engineer,"R.W.Division, Jharsuguda","21,001",Yes,percentage,1.0%,Nil,Nil,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,Online - SEJSG 12 of 2025-26,2025_CERWI_123406_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to NH-200 to Bausenpali for the year 2025-26,S/R to NH-200 to Bausenpali for the year 2025-26,Please refer Tender documents. ,NA ,"21,00,121",Civil Works - Roads,NA ,Tender,90.0,60.0,Jharsuguda,768204.0,NA ,NA ,NA ,"R.W.Division, Jharsuguda",No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN,GSTN No. EMD, Affidavit Online Cost of tender paper etc. as per DTCN",17-Dec-2025 06:00 PM,26-Dec-2025 11:00 AM,17-Dec-2025 06:00 PM,24-Dec-2025 05:00 PM,17-Dec-2025 06:00 PM ,22-Dec-2025 05:00 PM ,17-Dec-2025 06:00 PM,24-Dec-2025 05:00 PM,1.0,ICICI BANK,AOC,04-Feb-2026,"INR 1,785,313",60.0,Ashish Kumar Lenka,12-Feb-2026 01:01 PM,344.pdf (912.00 KB),Work order for the work S/R to NH-200 to Bausenpali for the year 2025-26,1,3326165,NEHA BHATTACHARYA,24-Dec-2025 02:29 PM,Rejected-AOC,Unsuccessful,12-Feb-2026 01:01 PM,Superintending Engineer,Internal,"AEE, DAO, JE Estimator",Pratima Naik,31-Jan-2026 04:58 PM,techsummary_572147.pdf (25.84 KB),Superintending Engineer,Internal,"AEE, DAO , JE Estimator",Pratima Naik,03-Feb-2026 04:37 PM,finsummary_572147.pdf (25.84 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,2025_CERWI_123406_5,Online - SEJSG 12 of 2025-26,S/R to NH-200 to Bausenpali for the year 2025-26,1.0,3325354.0,SRINIBAS PRADHAN CONSTRUCTION PVT LTD,INR,"1,785,313",Finance,Accept,Pratima Naik,31-Jan-2026 11:26 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3324182,PRADEEP CHAMAR,24-Dec-2025 03:20 PM,Rejected-AOC,Unsuccessful,12-Feb-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3326226,PRATIK CONSTRUCTION,24-Dec-2025 02:45 PM,Rejected-AOC,Unsuccessful,12-Feb-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3324118,SAMIR KUMAR SAI DEO,24-Dec-2025 02:39 PM,Rejected-AOC,Unsuccessful,12-Feb-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3325354,SRINIBAS PRADHAN CONSTRUCTION PVT LTD,24-Dec-2025 01:49 PM,Accepted-AOC,Successful,12-Feb-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
