Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Jharsuguda,DFO/JSG-07 OF 2025-26,2025_DFOJH_120696_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Detailed Tender Call Notice,Construction of Barrack at Kolabira Forest Range Office Campus during the year 2025-26,Construction of Barrack at Kolabira Forest Range Office Campus under Jharsuguda Forest Division during the year 2025-26,Please refer Tender documents. ,NA ,"20,16,710",Civil Works - Buildings,NA ,Tender,90.0,120.0,Range Office Campus of Kolabira,768213.0,NA ,NA ,NA ,"Office of the DFO Jharsuguda at BTM, Jharsuguda",No ,No,"20,167",Yes,fixed,,Nil,Nil,03-Nov-2025 04:00 PM,17-Nov-2025 11:00 AM,03-Nov-2025 04:00 PM,15-Nov-2025 05:00 PM,NA ,NA ,03-Nov-2025 04:00 PM,15-Nov-2025 05:00 PM,20-Nov-2025 05:45 PM,"6,000",Nil,Nil,Yes,Divisional Forest Officer,"Divisional Forest Office, At BTM, Ekatali, Jharsuguda",AOC,1,3226317,BHESAJA KUMAR PATTA,15-Nov-2025 03:04 PM,Accepted-AOC,Winner in Lottery System,03-Feb-2026 11:19 AM,22-Dec-2026,"INR 1,714,405",90.0,Manu Ashok Bhat,03-Feb-2026 11:18 AM,barrack.pdf (2635.00 KB),Work order for the work Construction of Barrack at Kolabira Forest Range Office Campus during the year 2025-26,ACF JHARSUGUDA FOREST DIVISION,Internal,KULAMANI PRADHN UDAYANTA SAHU BIRENDRA KUMAR PATEL ALOK KUMAR NAIK SURESH KUMAR TAREI,Manu Ashok Bhat,20-Nov-2025 05:41 PM,20-Nov-2025 05:45 PM,techsummary_561474.pdf (4162.88 KB),Finance,BHESAJA KUMAR PATTA AND GURUDEV NAIK Selected for Lottery,Manu Ashok Bhat,27-Nov-2025 01:17 PM,finance_561474.pdf,BOQ Comparative Chart,Technical,All bidders are accepted.,Manu Ashok Bhat,20-Nov-2025 05:08 PM,,Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Jharsuguda,2025_DFOJH_120696_4,DFO/JSG-07 OF 2025-26,Construction of Barrack at Kolabira Forest Range Office Campus during the year 2025-26,ACF JHARSUGUDA FOREST DIVISION,Internal,"Sri Kulamani Pradhan, Sri Udayanta Sahu, Sri Alok Kumar Naik, Sri Birendra Kumar Patel, Sri Suresh Kumar Tarei",Manu Ashok Bhat,09-Dec-2025 05:10 PM,finsummary_561474.pdf (1328.15 KB),1.0,3226317.0,BHESAJA KUMAR PATTA,INR,"1,714,405",AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Notice Inviting Tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3225795,BHIMSEN BHANJA,14-Nov-2025 07:03 PM,Rejected-Technical,due to non submission of IT Returns,20-Nov-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Tender paper cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3227974,GURUDEV NAIK,15-Nov-2025 04:48 PM,Rejected-AOC,Loser in Lottery System,03-Feb-2026 11:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,"RC Book , Affidavit, EMD, GSTIN, PAN, Experience Certificate as contractor,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3226310,KALPIT KUMAR RAWAL,15-Nov-2025 03:36 PM,Rejected-Finance,due to higher bid amount,09-Dec-2025 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Check List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3225641,LALIT KUMAR BANJARA,14-Nov-2025 11:28 PM,Rejected-Technical,due to non submission of IT Returns,20-Nov-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3227848,YASH RAWAL,15-Nov-2025 04:07 PM,Rejected-Finance,due to higher bid amount,09-Dec-2025 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
