S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3313208.0,Shree Balaji Engicons Limited,INR,"328,704,637",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,27-Feb-2026 04:04 PM,finsummary_569924.pdf (383.33 KB),Technical,7 Nos. of bidders have been participated,LAXMIPRIYA NAYAK,29-Dec-2025 10:48 AM,,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_122715_1,22/OPHWC/2025-26,"Const. of Atal Bus Stand (B Type) at Brajarajnagar Under Jharsuguda Block, Jharsuguda",Finance,Financial bid opened,MONALISHA PADHY,05-Feb-2026 10:55 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,04-Feb-2026 06:01 PM,05-Feb-2026 10:30 AM,techsummary_569924.pdf (185.95 KB),27-Feb-2026,"INR 328,704,637",540.0,Bikram Keshari Malla,27-Feb-2026 04:08 PM,BRAJRAJNAGAR.pdf (83.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 23.02.2026,1,3326742,AVR INFRATECH PVT LTD,26-Dec-2025 03:31 PM,Rejected-Finance,DUE TO L2 BIDDER,27-Feb-2026 04:04 PM,AOC,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"Const. of Atal Bus Stand (B Type) at Brajarajnagar Under Jharsuguda Block, Jharsuguda",Building Work,Please refer Tender documents. ,NA ,"38,66,65,847",Civil Works - Buildings,NA ,Tender,90.0,540.0,Jharsuguda,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,06-Dec-2025 06:55 PM,29-Dec-2025 10:30 AM,06-Dec-2025 06:55 PM,26-Dec-2025 05:00 PM,NA ,NA ,06-Dec-2025 06:55 PM,26-Dec-2025 05:00 PM,05-Feb-2026 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,"38,66,700",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,22/OPHWC/2025-26,2025_OSPHW_122715_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3325232,DIVERSIFIED ENERGY SOLUTIONS PRIVATE LIMITED,25-Dec-2025 11:07 AM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. No. 12 and 110(j).,04-Feb-2026 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3326210,MASTER CONSTRUCTION COMPANY,26-Dec-2025 01:29 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,04-Feb-2026 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3327823,PRIYA ENGINEERING PROJECTS PRIVATE LIMITED,25-Dec-2025 06:33 PM,Rejected-Technical,Non submission of MOU for Fire fighting work as per DTCN Cl. No. 10 (vi) and 110 (i).,04-Feb-2026 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3313208,Shree Balaji Engicons Limited,26-Dec-2025 01:25 PM,Accepted-AOC,QUALIFIED BIDDER,27-Feb-2026 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3329812,SHREE SHYAMJEE CONSTRUCTIONS PVT LTD,26-Dec-2025 04:29 PM,Rejected-Finance,DUE TO L3 BIDDER,27-Feb-2026 04:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3330047,Shyam Indus Power Solutions Private Limited,26-Dec-2025 04:34 PM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. No. 12 and 110(j).,04-Feb-2026 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
