Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,ok,TAPASA KUMAR SAMAL,01-May-2025 01:16 PM,,BOQ Comparative Chart,25-Feb-2026,"INR 1,675,188",120.0,Sourav Chakrabarty,25-Feb-2026 06:36 PM,68.pdf (488.00 KB),work order issued,Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_68,BM-BDK-01-2025-26,"Construction of Boundary Wall of Cremation Ground over Plot No. 398,Khata No. 1206 Mouza Garadpur at Garadpur in ward No.28.",1.0,2892638.0,RANJEET BEHERA,INR,"1,675,188",1,2896727,Padan Majhi,27-Apr-2025 03:30 PM,Rejected-AOC,Quoted second lowest,25-Feb-2026 06:36 PM,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,25-Feb-2026 05:46 PM,techsummary_536376.pdf (240.28 KB),Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,25-Feb-2026 06:07 PM,finsummary_536376.pdf (240.28 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC","6,000",0.0,Nil,Nil,No,"16,800",Yes,fixed,,Nil,Nil,1,ICICI BANK,"Construction of Boundary Wall of Cremation Ground over Plot No. 398,Khata No. 1206 Mouza Garadpur at Garadpur in ward No.28.","Construction of Boundary Wall of Cremation Ground over Plot No. 398,Khata No. 1206 Mouza Garadpur at Garadpur in ward No.28.",Please refer Tender documents. ,NA ,"16,75,188",Civil Works - Others,NA ,Tender,90.0,120.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_68,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality",17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2892638,RANJEET BEHERA,26-Apr-2025 10:29 AM,Accepted-AOC,Quoted first lowest,25-Feb-2026 06:36 PM,,,,,,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
