EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"50,850",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Jagannathpur Balianta via Atala road,Jagannathpur Balianta via Atala road,Please refer Tender documents. ,NA ,"50,85,000",Civil Works - Roads,NA ,Tender,90.0,90.0,SE R.W. Div. BBSR,751013.0,NA ,NA ,NA ,O/o SE RW Div. BBSR,No ,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 19/2025-26,2025_CERWI_120247_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,28-Oct-2025 06:55 PM,10-Nov-2025 11:00 AM,28-Oct-2025 06:55 PM,07-Nov-2025 05:00 PM,NA ,NA ,28-Oct-2025 06:55 PM,07-Nov-2025 05:00 PM,26-Nov-2025 03:00 PM,"10,000",0.0,Nil,Nil,No,O/o the SE RWD BBSR,SE RW Div. BBSR,1.0,Fee/PreQual/Technical,.pdf,Tender paper cost EMD GSTIN PAN Registration Certificate,AOC,09-Feb-2026,"INR 4,322,212",90.0,Nirmal Chandra Jena,09-Feb-2026 03:30 PM,BaliantaAtala.pdf (354.00 KB),AOCC,1,3193413,APURBA CONSULTANCY PVT LTD,07-Nov-2025 01:26 PM,Rejected-Technical,Non submission of Labour License and No relationship,26-Nov-2025 02:02 PM,"SE RW, Bhubaneswar",Internal,,Shrabani Routray,26-Nov-2025 02:02 PM,26-Nov-2025 03:00 PM,techsummary_559384.pdf (770.52 KB),Finance,11 nos of bidder are participated,Shrabani Routray,26-Nov-2025 03:46 PM,,BOQ Comparative Chart,Technical,12 nos of bidder are participated,Shrabani Routray,26-Nov-2025 01:52 PM,,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_120247_4,Tender Online Divn. BBSR - 19/2025-26,Jagannathpur Balianta via Atala road,"SE RW, Bhubaneswar",Internal,"DAO, Estimator and Superintending Engineer",Shrabani Routray,17-Dec-2025 12:07 PM,finsummary_559384.pdf (571.69 KB),1.0,3175765.0,SANDIP KUMAR BISWAL,INR,"4,322,212",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit Correctness Certificate, undertaking forobtaining Labour License",AOC,,,,,,,,2,3193932,BHABANI SANKAR SWAIN,07-Nov-2025 02:37 PM,Rejected-Finance,Technically Disqualified,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Relationship Certificate and required documents as per DTCN.,AOC,,,,,,,,3,3178103,CHITRASEN GAJENDRA,03-Nov-2025 04:49 PM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,4,3194438,KKD INFRASTRUCTURE,07-Nov-2025 04:23 PM,Rejected-Finance,Technically Disqualified,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3187685,MS BMR CONSTRUCTIONS,07-Nov-2025 10:57 AM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3194549,NIHAR RANJAN JATTA,07-Nov-2025 04:45 PM,Rejected-Finance,Technically Disqualified,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3194203,Panchanan Routray,07-Nov-2025 03:43 PM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3183452,PRAMOD KUMAR BEHERA,06-Nov-2025 04:49 PM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3175765,SANDIP KUMAR BISWAL,02-Nov-2025 10:32 PM,Accepted-AOC,L1 Bidder,09-Feb-2026 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3194011,SANJAY KUMAR SETHI,07-Nov-2025 02:51 PM,Rejected-Finance,Technically Disqualified,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,3187872,SUBHRAJIT MOHANTY,06-Nov-2025 12:07 PM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,3191717,SWAYAM PRAKASH BEHERA,06-Nov-2025 10:22 PM,Rejected-Finance,Technically Disqualified,17-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
