S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,DG Odisha Police Cuttack||Commissionerate Police Bhubaneswar Cuttack,CP-15/2025-26,2025_CMPBC_123962_1,Yes,Open Tender,EOI,Goods,2.0,No,No,Online,No,No,No,"5,900",Nil,Nil,Yes,Procurement and installation of Cyber Lab and Investigation Cell for Commissionerate Police Bhubaneswar Cuttack,Procurement and installation of Cyber Lab and Investigation Cell for Commissionerate Police Bhubaneswar Cuttack,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,90.0,NA ,Bhubaneswar,751001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"60,000",Yes,fixed,,Nil,Nil,DCP LO cum Ic Provisioning,CP HQ BBSR CTC,1.0,Fee/PreQual/Technical,.pdf,Documents as per DTCN,30-Dec-2025 01:15 PM,12-Jan-2026 12:30 PM,30-Dec-2025 01:15 PM,09-Jan-2026 05:00 PM,NA ,NA ,30-Dec-2025 01:15 PM,09-Jan-2026 05:00 PM,12-Feb-2026 12:00 PM,AOC,Technical,bid opened,PRAKASH CHANDRA PAL,11-Feb-2026 12:41 PM,,DG Odisha Police Cuttack||Commissionerate Police Bhubaneswar Cuttack,2025_CMPBC_123962_1,CP-15/2025-26,Procurement and installation of Cyber Lab and Investigation Cell for Commissionerate Police Bhubaneswar Cuttack,S Dev Datta Singh IPS CP BBSR CTC,Internal,Prakash Ch Pal OPS S DCP LO SC Marandi Joint Secretary to Govt Swaraj Debata OPS Addl DCP SCU Rashmita Roul OFS Finance Officer Sourav Dash PA OCAC,PRAKASH CHANDRA PAL,17-Feb-2026 11:21 AM,finsummary_573683.pdf (2622.23 KB),1.0,3348418.0,SAI INFOTEL SOLUTIONS PVT. LTD.,INR,"2,885,572",1,3349786,HARDIB TECHNOLOGY PRIVATE LIMITED,09-Jan-2026 04:43 PM,Rejected-Finance,Disqualified,17-Feb-2026 11:21 AM,17-Feb-2026,"INR 2,885,572",15.0,PRAKASH CHANDRA PAL,17-Feb-2026 11:32 AM,AOC.pdf (2622.00 KB),Approved Ms Sai Infotel Solutions Pvt Ltd as L1 firm L1 price ie Rs 2885572 Rupees Twenty Eight Lakh Eighty Five Thousand Five Hundred Seventy Two only inclusive all taxes,Addl CP BBSR CTC,Internal,P Ch Pal OPS S DCP LO Ic Prov S K Mohapatra OAPS SAG SP Security S Debata OPS Addl DCP SCU Rashmita Roul OFS Finance Officer Sourav Dash PA OCAC,PRAKASH CHANDRA PAL,11-Feb-2026 12:48 PM,12-Feb-2026 12:00 PM,techsummary_573683.pdf (195.32 KB),Finance,Financial Bid opened,PRAKASH CHANDRA PAL,17-Feb-2026 11:09 AM,,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Price Bid,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3350095,LABPRONICS TECHNOLOGIES PVT LTD,09-Jan-2026 04:55 PM,Rejected-Technical,Technically disqualified,11-Feb-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3348418,SAI INFOTEL SOLUTIONS PVT. LTD.,09-Jan-2026 03:35 PM,Accepted-AOC,Approved Ms Sai Infotel Solutions Pvt Ltd as L1 firm L1 price ie Rs 2885572 Rupees Twenty Eight Lakh Eighty Five Thousand Five Hundred Seventy Two only inclusive all taxes,17-Feb-2026 11:32 AM,,,,,,,,,,,,,,,,,,,,AOC
