Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,"S.E,Balangir (R and B) Division,Balangir","O/O S.E, Balangir (R and B) Division, Balangir",17-Jan-2026 09:00 AM,22-Jan-2026 04:00 PM,17-Jan-2026 09:00 AM,22-Jan-2026 01:00 PM,17-Jan-2026 09:00 AM ,19-Jan-2026 05:00 PM ,17-Jan-2026 09:00 AM,22-Jan-2026 01:00 PM,"21,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy of tender paper cost and EMD, Registration Certificate, PAN, GSTIN etc.",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,SE (R AND B) BGR/ 26/ 2025-26,2026_EICCL_124702_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Special Repair to Ayurvedic Medical College and Hospital, Bolangir such as weather coat painting for the year 2025-26",Building work,Please refer tender document ,NA ,"21,17,239",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bolangir,767001.0,NA ,NA ,NA ,"O/O S.E,Balangir (R and B) Division,Balangir",No ,No,1.0,ICICI BANK,AOC,A Jena,Internal,,ASHUTOS JENA,24-Feb-2026 01:35 PM,finsummary_576228.pdf (850.41 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,2026_EICCL_124702_1,SE (R AND B) BGR/ 26/ 2025-26,"Special Repair to Ayurvedic Medical College and Hospital, Bolangir such as weather coat painting for the year 2025-26",1.0,3361832.0,BIRENDRA KUMAR SAHOO,INR,"2,115,121.9",Finance,Total 35 (Thirty-Five) Nos. bidders participated and their documents are opened for further evaluation.,ASHUTOS JENA,22-Jan-2026 08:12 PM,finance_576228.pdf,BOQ Comparative Chart,1,3363251,ABHISEK PANIGRAHI,21-Jan-2026 06:03 PM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,24-Feb-2026,"INR 2,115,121.9",30.0,ASHUTOS JENA,24-Feb-2026 01:58 PM,939.pdf (564.00 KB),"The work has been awarded to Birendra Kumar Sahoo, C- Class contractor vide agreement no- 1606 P1 of 2025-26 on dtd- 06.02.2026",A Jena,Internal,,ASHUTOS JENA,24-Feb-2026 12:58 PM,techsummary_576228.pdf (6110.96 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relation Certificate, Current Litigation, Affidavit etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,3363473,AKARSHAN JHA,22-Jan-2026 11:38 AM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3363394,ANSUMAN UDGATA,22-Jan-2026 10:09 AM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3362829,ASHOK PRADHAN,21-Jan-2026 01:49 PM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3363327,Babita Hota,21-Jan-2026 10:01 PM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3362649,BANAMALI SAHU,21-Jan-2026 01:01 PM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3363340,BASANTA TRIPATHY,21-Jan-2026 08:37 PM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3363451,BHUBANESWAR SAHU,22-Jan-2026 11:23 AM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3362131,BIGHNARAJ MISHRA,20-Jan-2026 10:51 PM,Rejected-Finance,Loose the lottery,24-Feb-2026 01:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3361832,BIRENDRA KUMAR SAHOO,20-Jan-2026 06:06 PM,Accepted-AOC,The agency has owned the lottery,24-Feb-2026 01:58 PM,,,,,,,,,,,,,,AOC
