Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Tender opening,Jay Prakash Soren,04-Feb-2026 12:28 PM,finance_555734.pdf,BOQ Comparative Chart,04-Feb-2026,"INR 508,476",60.0,Jay Prakash Soren,04-Feb-2026 12:48 PM,wo24.pdf (340.00 KB),1.0,3134451.0,TRUPTIMAYEE PANDA,INR,"432,255",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2025_CERWI_119391_24,EERWNGP Online 07 2025 26,S/R to Patraguda - Kangamajhiguda road such as Pothole repair and Berm filling at Ch 0/000 to 2/500 Km in Papadahandi Block for the year 2025-26,1,3137197,AMLAN JYOTI MADALA,20-Oct-2025 12:43 AM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,Executive Engineer,Internal,"Estimator, DAO-I, EE",Jay Prakash Soren,04-Feb-2026 12:35 PM,techsummary_555734.pdf (683.72 KB),Executive Engineer,Internal,"Estimator, DAO-I, EE",Jay Prakash Soren,04-Feb-2026 12:40 PM,finsummary_555734.pdf (683.72 KB),AOC,1.0,Modification of class of Contractor,Other,,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR",1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 07 2025 26,2025_CERWI_119391_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN Affidavit and as per DTCN,"5,085",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,14-Oct-2025 10:00 AM,22-Oct-2025 11:00 AM,14-Oct-2025 10:00 AM,20-Oct-2025 03:00 PM,14-Oct-2025 10:00 AM ,20-Oct-2025 03:00 PM ,14-Oct-2025 10:00 AM,20-Oct-2025 03:00 PM,S/R to Patraguda - Kangamajhiguda road such as Pothole repair and Berm filling at Ch 0/000 to 2/500 Km in Papadahandi Block for the year 2025-26,S/R to Patraguda - Kangamajhiguda road such as Pothole repair and Berm filling at Ch 0/000 to 2/500 Km in Papadahandi Block for the year 2025-26,please refer to tender documents ,NA ,"5,08,476",Civil Works - Roads,NA ,Tender,90.0,60.0,Papadahandi,764071.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,3137574,ASHOK KUMAR CHOUDHURY,20-Oct-2025 02:31 PM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3133157,BHAGABAN BEHERA,19-Oct-2025 11:34 AM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3128223,BIJAYA KUMAR BISHOYI,14-Oct-2025 07:06 PM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3137996,BIKASH KUMAR AGRAWAL,20-Oct-2025 01:38 PM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3131462,Brajendra Naik,19-Oct-2025 12:14 PM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3136553,CHANDRA HARIJAN,19-Oct-2025 10:05 PM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3134333,GOURI PRASAD PATRO,19-Oct-2025 01:30 PM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3136925,JITENDRA KUMAR JENA,19-Oct-2025 09:56 PM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3131639,KRUSHNA BISOI,16-Oct-2025 07:44 PM,Rejected-AOC,Disqualified in transparent lottery,04-Feb-2026 12:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
