Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,09-Feb-2026 12:22 PM,techsummary_572446.pdf (574.21 KB),27-Feb-2026,"INR 511,444",90.0,RANJAN KUMAR MARTHA,27-Feb-2026 04:49 PM,822.pdf (541.00 KB),1,3327029,AKHUJA NAIK,24-Dec-2025 09:55 PM,Rejected-Finance,As per Lottery,25-Feb-2026 12:58 PM,Finance,2 bidder participated and admitted for Technical Evaluation,RANJAN KUMAR MARTHA,31-Jan-2026 01:27 PM,,BOQ Comparative Chart,1.0,3335420.0,SISIRA KANTA NAIK,INR,"511,444",Municipal Bodies||Redhakhol NAC,2025_ORULB_123544_1,RDL NAC-5/2025-26,Restoration of Mandap (Gudighara) at Nuasahi in ward No 08,Sibaram Sahoo,Internal,"Chairperson, EO,MEmJE",RANJAN KUMAR MARTHA,25-Feb-2026 12:58 PM,finsummary_572446.pdf (630.38 KB),AOC,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",1,ICICI BANK,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Redhakhol NAC,RDL NAC-5/2025-26,2025_ORULB_123544_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,120",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,19-Dec-2025 06:55 PM,29-Dec-2025 04:30 PM,19-Dec-2025 06:55 PM,29-Dec-2025 04:00 PM,NA ,NA ,19-Dec-2025 06:55 PM,29-Dec-2025 04:00 PM,Restoration of Mandap (Gudighara) at Nuasahi in ward No 08,Restoration of Mandap (Gudighara) at Nuasahi in ward No 08,Please refer Tender documents. ,NA ,"5,11,956",Civil Works - Others,NA ,Tender,90.0,90.0,"NAC, Redhakhol",768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,AOC
,,,,,,,,,,,,2,3335420,SISIRA KANTA NAIK,29-Dec-2025 09:46 AM,Accepted-AOC,L1,27-Feb-2026 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
