Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
27-Feb-2026,"INR 2,033,751",30.0,Kapileswar Singh,27-Feb-2026 05:18 PM,umesh.pdf (186.00 KB),CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,2025_CERWI_120667_31,NCB 07 OF 2025-26,Periodical Maintenance to Chandposi to Deobandha road from ch 1/000 to 1/500 Km for the year 2025-26.,1.0,3217646.0,UMESHCHANDRA MUNDA,INR,"2,033,751",1,3218564,ASIN KUMAR JENA,12-Nov-2025 09:40 PM,Rejected-Technical,INSUFFICIENT DOCUMENT,30-Dec-2025 04:43 PM,Finance,cover1,Sanjukta Marndi,30-Dec-2025 04:39 PM,finance_561494.pdf,BOQ Comparative Chart,SE,Internal,,Sanjukta Marndi,30-Dec-2025 04:45 PM,finsummary_561494.pdf (605.23 KB),SE,Internal,,Sanjukta Marndi,30-Dec-2025 04:43 PM,techsummary_561494.pdf (605.23 KB),AOC,03-Nov-2025 06:00 PM,14-Nov-2025 11:00 AM,03-Nov-2025 06:00 PM,13-Nov-2025 05:00 PM,03-Nov-2025 06:00 PM ,12-Nov-2025 05:00 PM ,03-Nov-2025 06:00 PM,13-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,NCB 07 OF 2025-26,2025_CERWI_120667_31,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"20,330",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,SUPERINTENDING ENGINEER,"At-Gambharia Po- DD College Near Diary Farm. O/o the SE R.W Division-I, Keonjhar",1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GST AFFIDAVIT AND AS PER ANNEXURE,Periodical Maintenance to Chandposi to Deobandha road from ch 1/000 to 1/500 Km for the year 2025-26.,Periodical Maintenance to Chandposi to Deobandha road from ch 1/000 to 1/500 Km for the year 2025-26.,Please refer Tender documents. ,NA ,"20,33,000",Civil Works - Roads,NA ,Tender,90.0,30.0,KEONJHAR,758001.0,NA ,NA ,NA ,"R.W DIVISION-I,KEONJHAR",No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3220152,BISWAJIT SINGH,13-Nov-2025 03:07 PM,Rejected-Technical,QUOTED AMOUNT EXESS,30-Dec-2025 04:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3218432,JITENDRA KUMAR BEHERA,12-Nov-2025 06:43 PM,Rejected-Technical,INSUFFICIENT DOCUMENT,30-Dec-2025 04:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3221795,Papu Mohapatra,13-Nov-2025 03:36 PM,Rejected-Technical,INSUFFICIENT DOCUMENT,30-Dec-2025 04:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3219768,PRAKASH GHADEI,13-Nov-2025 03:00 AM,Rejected-AOC,REJECTED,27-Feb-2026 05:18 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3221054,SATYENDU CHAND,13-Nov-2025 02:10 PM,Rejected-Technical,QUOTED AMOUNT EXESS,30-Dec-2025 04:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3217646,UMESHCHANDRA MUNDA,12-Nov-2025 03:29 PM,Accepted-AOC,ACCEPTED,27-Feb-2026 05:18 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
