Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
ST and SC Development Deptt||ITDA Gunupur,ITDAGNP-03/2024-25,2025_STSCD_113765_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"9,834",Yes,percentage,1.0%,Nil,Nil,Construction of AWC Building at Jangjang under Gunupur Block,Building work,Please refer Tender documents. ,NA ,"9,83,428",Civil Works - Buildings,NA ,Tender,90.0,180.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Gunupur",No ,No,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Papercost,EMD.Contractorlicense, Affidavit, PAN, GSTIN and other document as per DTCN","Projrct Administrator, ITDA, Gunupur","Projrct Administrator, ITDA, Gunupur",23-May-2025 10:00 AM,06-Jun-2025 11:00 AM,23-May-2025 10:00 AM,05-Jun-2025 05:00 PM,23-May-2025 10:00 AM ,05-Jun-2025 05:00 PM ,23-May-2025 10:00 AM,05-Jun-2025 05:00 PM,08-Jul-2025 11:00 AM,AOC,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,26-Feb-2026 12:06 PM,finsummary_540847.pdf (727.69 KB),Technical,Technical Evalation,Ajaya Kumar Pradhan,07-Jul-2025 07:03 PM,technical_540847.pdf,ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_113765_6,ITDAGNP-03/2024-25,Construction of AWC Building at Jangjang under Gunupur Block,1.0,2952390.0,Jeetendra Goudo,INR,"983,427.6",26-Feb-2026,"INR 983,427.6",180.0,Ajaya Kumar Pradhan,26-Feb-2026 12:08 PM,2343.pdf (384.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",1,2952390,Jeetendra Goudo,05-Jun-2025 12:56 PM,Accepted-AOC,Awarded to Lowest 1,26-Feb-2026 12:09 PM,Finance,proccedding,Ajaya Kumar Pradhan,26-Feb-2026 12:03 PM,finance_540847.pdf,BOQ Comparative Chart,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, SERWD,Gunupur",Ajaya Kumar Pradhan,07-Jul-2025 07:05 PM,08-Jul-2025 11:00 AM,techsummary_540847.pdf (156.17 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2934772,RASHMIREKHA SABAT,27-May-2025 12:33 PM,Rejected-Finance,Not Sucess in the Lottery Process,26-Feb-2026 12:06 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2952466,Simadri Trinath Rao,05-Jun-2025 01:27 PM,Rejected-Finance,Not Sucess in the Lottery Process,26-Feb-2026 12:06 PM,,,,,,,,,,,,,,AOC
