Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Stage
Finance,SUMMARY,Srikrushna Sabar,04-Feb-2026 01:50 PM,finance_571322.pdf,BOQ Comparative Chart,1.0,3308717.0,Akshaya Kumar Mishra,INR,"847,360",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,2025_CERWI_123039_1,SERWKPT ONLINE 07/2025-26,"Repair and Renovation of JMFC Court Building at Dasmantapur (Compound Wall, Approach Road) for the year 2025 26.",Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,05-Feb-2026 10:35 AM,finsummary_571322.pdf (936.92 KB),Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,05-Feb-2026 10:29 AM,techsummary_571322.pdf (936.92 KB),05-Feb-2026,"INR 847,360",60.0,Srikrushna Sabar,05-Feb-2026 10:39 AM,JMFCCourt_A.pdf (386.00 KB),AGREEMENT DRAWN,1,3308717,Akshaya Kumar Mishra,17-Dec-2025 09:22 AM,Accepted-AOC,Qualified after drawl of lottery,05-Feb-2026 10:40 AM,AOC,"9,970",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPERCOST,EMD,RC,GST,AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,SERWKPT ONLINE 07/2025-26,2025_CERWI_123039_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"Repair and Renovation of JMFC Court Building at Dasmantapur (Compound Wall, Approach Road) for the year 2025 26.","Repair and Renovation of JMFC Court Building at Dasmantapur (Compound Wall, Approach Road) for the year 2025 26.",NA ,NA ,"9,96,777",Civil Works - Buildings,NA ,Tender,90.0,60.0,Koraput,764020.0,"SE RWDIVISION,KORAPUT ","SE RWDIVISION,KORAPUT ",12-Dec-2025 11:00 AM ,"RURAL WORKS DIVISION, KORAPUT",No ,No,12-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,12-Dec-2025 11:00 AM,18-Dec-2025 05:30 PM,12-Dec-2025 11:00 AM ,18-Dec-2025 05:30 PM ,12-Dec-2025 11:00 AM,18-Dec-2025 05:30 PM,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, KORAPUT",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3312210,ARJUNA SAUNTA,17-Dec-2025 07:12 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3314218,Balaram Subuddhi,18-Dec-2025 02:44 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3313596,BIGHNARAJ PATRA,18-Dec-2025 12:46 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3312303,BISHNUPRIYA NAYAK,18-Dec-2025 01:20 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3309986,CHANCHAL KUMAR NAYAK,17-Dec-2025 03:27 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3314695,Dambrudhar Bisoi,18-Dec-2025 04:39 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3311176,DHANA JANI,18-Dec-2025 03:13 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3314115,HEMANTA KUMAR PATRO,18-Dec-2025 02:22 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3305121,KHAGAPATI SAUNTA,15-Dec-2025 07:15 PM,Rejected-AOC,Lost in lottery,05-Feb-2026 10:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
