EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"4,200",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits and other documents as per DTCN.",06-Nov-2025 11:00 AM,13-Nov-2025 05:30 PM,06-Nov-2025 11:00 AM,13-Nov-2025 05:00 PM,06-Nov-2025 11:00 AM ,13-Nov-2025 03:00 PM ,06-Nov-2025 11:00 AM,13-Nov-2025 05:00 PM,SE RWD Udala,SE RWD Udala,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,03(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120870_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair to Tahasil Office Building at Badasahi for the year 2025-26.,Repair to Tahasil Office Building at Badasahi for the year 2025-26.,Please refer Tender documents. ,NA ,"4,20,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,SERW DIVISION UDALA,Internal,,Haripriya Behera,16-Feb-2026 01:14 PM,techsummary_562152.pdf (1454.47 KB),SERW DIVISION UDALA,Internal,,Haripriya Behera,16-Feb-2026 01:19 PM,finsummary_562152.pdf (1454.47 KB),Finance,26 Nos of bidders admitted,Haripriya Behera,16-Feb-2026 01:11 PM,,BOQ Comparative Chart,1,3221555,ANANDA DAS,13-Nov-2025 02:50 PM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120870_17,03(Onilne)/RWD/UDALA/2025-26,Repair to Tahasil Office Building at Badasahi for the year 2025-26.,1.0,3214648.0,JNANA RANJAN BEHERA,INR,"357,218.47",16-Feb-2026,"INR 357,218.47",30.0,Haripriya Behera,16-Feb-2026 01:27 PM,Badasahi17A.pdf (602.00 KB),AOC
,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,2,3210034,BABITA PATRA,13-Nov-2025 05:43 AM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3206716,BHABESH NAYAK,13-Nov-2025 12:42 PM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3215030,BHABESH NAYAK,12-Nov-2025 09:20 PM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3196156,Biswajit Pramanik,13-Nov-2025 12:30 AM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3209304,DEEPAK PATRA,11-Nov-2025 08:30 PM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3221571,HEMANTA KUMAR JENA,13-Nov-2025 02:46 PM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3219850,INDRAJIT NAYAK,13-Nov-2025 07:04 AM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3217398,JAGAT JYOTI DAS,12-Nov-2025 02:25 PM,Rejected-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3214648,JNANA RANJAN BEHERA,13-Nov-2025 11:45 AM,Accepted-AOC,L1,16-Feb-2026 01:27 PM,,,,,,,,,,,,,,,,AOC
