S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3300413.0,NIHAR MAHAPATRA,INR,"2,542,347",Finance,Summary,Srikrushna Sabar,28-Jan-2026 02:13 PM,finance_570048.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,09-Feb-2026 11:22 AM,finsummary_570048.pdf (1787.73 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,2025_CERWI_122755_1,SERWKPT ONLINE 02/2025-26,PS road to Bhitarabagri_Road_Renewal coat of SDBC with WMM profile correction_2/000 to 4/000,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,09-Feb-2026 11:18 AM,techsummary_570048.pdf (1787.73 KB),1,3299269,Balaram Subuddhi,13-Dec-2025 03:40 PM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,09-Feb-2026,"INR 2,542,347",60.0,Srikrushna Sabar,09-Feb-2026 11:28 AM,PSBhitarabagri_A.pdf (447.00 KB),Agreement Drawn,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, RC, GST, PAN, Court Affidavit and other documents as per DTCN","6,000",0.0,Nil,Nil,No,1.0,2nd Corrigendum,Technical Bid,,Divisional Officer,"RURAL WORKS DIVISION, KORAPUT",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,SERWKPT ONLINE 02/2025-26,2025_CERWI_122755_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,08-Dec-2025 11:00 AM,16-Dec-2025 11:00 AM,08-Dec-2025 11:00 AM,15-Dec-2025 05:30 PM,08-Dec-2025 11:00 AM ,15-Dec-2025 05:30 PM ,08-Dec-2025 11:00 AM,15-Dec-2025 05:30 PM,1.0,ICICI BANK,PS road to Bhitarabagri_Road_Renewal coat of SDBC with WMM profile correction_2/000 to 4/000,PS road to Bhitarabagri_Road_Renewal coat of SDBC with WMM profile correction_2/000 to 4/000,NA ,NA ,"29,90,645",Civil Works - Roads,NA ,Tender,90.0,60.0,Koraput,764020.0,Superintending Engineer RWD Koraput ,Superintending Engineer RWD Koraput ,08-Dec-2025 11:00 AM ,"RURAL WORKS DIVISION, KORAPUT",No ,No,"29,910",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3303278,BIPIN KUMAR SAHU,15-Dec-2025 01:11 PM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3299107,CHANCHAL KUMAR NAYAK,13-Dec-2025 04:16 PM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3295125,JAGANATH BISOI,13-Dec-2025 11:22 AM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3298425,JITENDRA SAGAR,12-Dec-2025 06:03 PM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3298943,JITENDRA SUBUDHI,13-Dec-2025 12:01 AM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3299387,Khagapati Khara,13-Dec-2025 01:02 PM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3301919,LAXMIKANTA BIDIKA,14-Dec-2025 09:52 PM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3296289,LIPUN PRADHAN,11-Dec-2025 09:42 PM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3298141,NARI HUIKA,12-Dec-2025 04:44 PM,Rejected-AOC,Lost in lottery,09-Feb-2026 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
