Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Parlakhemundi Municipal Council,05/PKDM-2025-26,2025_ORULB_122577_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT AND DTCN,1,ICICI BANK,"2,399",Yes,fixed,,Nil,Nil,"Executive Officer, Paralakhemundi Municipality","Executive Officer, Paralakhemundi Municipality",Repair of road and Renovation of drain with cover plate at Segiti Sahi,Road and drain work,Please refer Tender documents. ,NA ,"2,39,929",Civil Works - Others,NA ,Tender,90.0,60.0,Paralakhemundi Municipality,761200.0,NA ,NA ,NA ,Paralakhemundi Municipality,No ,No,"2,000",0.0,Nil,Nil,No,06-Dec-2025 10:00 AM,19-Dec-2025 11:00 AM,06-Dec-2025 10:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,06-Dec-2025 10:00 AM,18-Dec-2025 05:00 PM,AOC,"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,21-Feb-2026 05:52 PM,finsummary_569416.pdf (2567.05 KB),Municipal Bodies||Parlakhemundi Municipal Council,2025_ORULB_122577_3,05/PKDM-2025-26,Repair of road and Renovation of drain with cover plate at Segiti Sahi,1.0,3313249.0,SASMITA KUMARI DAS,INR,"239,929",Finance,It will be finalized by the Tender Committee,LAXMAN KUMAR MURMU,24-Dec-2025 12:18 PM,,BOQ Comparative Chart,1,3313249,SASMITA KUMARI DAS,18-Dec-2025 02:09 PM,Accepted-AOC,L1,21-Feb-2026 05:56 PM,21-Feb-2026,"INR 239,929",60.0,LAXMAN KUMAR MURMU,21-Feb-2026 05:56 PM,3.pdf (544.00 KB),"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,21-Feb-2026 05:50 PM,techsummary_569416.pdf (2567.05 KB),AOC
,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3313864,SHRIRAM UTTAM,18-Dec-2025 01:27 PM,Rejected-AOC,L2,21-Feb-2026 05:56 PM,,,,,,,,,,,,,AOC
