Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Tender opening,Jay Prakash Soren,03-Feb-2026 03:21 PM,finance_555755.pdf,BOQ Comparative Chart,1.0,3135282.0,SRIKUMAR BISWAS(S.C),INR,"432,037",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2025_CERWI_119391_27,EERWNGP Online 07 2025 26,"S/R to RD road to Sonuguda road such as Bushes cleaning, Pot hole repair, CD Maintenance, Signage and Berm filling At 0/000 to 2/500 Km in Nabarangpur Block for the year 2025-26",1,3137201,AMLAN JYOTI MADALA,20-Oct-2025 12:49 AM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,03-Feb-2026,"INR 508,219",60.0,Jay Prakash Soren,03-Feb-2026 03:45 PM,wo27.pdf (641.00 KB),Executive Engineer,Internal,"Estimator, DAO-I, EE",Jay Prakash Soren,03-Feb-2026 03:28 PM,techsummary_555755.pdf (387.33 KB),Executive Engineer,Internal,"Estimator,DAO-I,EE",Jay Prakash Soren,03-Feb-2026 03:33 PM,finsummary_555755.pdf (387.33 KB),AOC,14-Oct-2025 10:00 AM,22-Oct-2025 11:00 AM,14-Oct-2025 10:00 AM,20-Oct-2025 03:00 PM,14-Oct-2025 10:00 AM ,20-Oct-2025 03:00 PM ,14-Oct-2025 10:00 AM,20-Oct-2025 03:00 PM,1.0,ICICI BANK,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR","4,000",0.0,Nil,Nil,No,"5,082",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN Affidavit and as per DTCN,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 07 2025 26,2025_CERWI_119391_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Modification of class of Contractor,Other,,"S/R to RD road to Sonuguda road such as Bushes cleaning, Pot hole repair, CD Maintenance, Signage and Berm filling At 0/000 to 2/500 Km in Nabarangpur Block for the year 2025-26","S/R to RD road to Sonuguda road such as Bushes cleaning, Pot hole repair, CD Maintenance, Signage and Berm filling At 0/000 to 2/500 Km in Nabarangpur Block for the year 2025-26",Please refer to tender documents ,NA ,"5,08,219",Civil Works - Roads,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,AOC
,,,,,,,,,,,,,,,2,3133497,AMULYA KUMAR PATRO,17-Oct-2025 09:34 PM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3138005,BIKASH KUMAR AGRAWAL,20-Oct-2025 01:40 PM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3136543,LINGARAJ ACHARYA,19-Oct-2025 09:28 PM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3135338,M/S ABANI KUMAR MISHRA,19-Oct-2025 11:42 AM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3132458,SAMAR BIPLAB PANDA,17-Oct-2025 01:28 PM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3134057,SANJAY HARIJAN,18-Oct-2025 02:36 PM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3135282,SRIKUMAR BISWAS(S.C),19-Oct-2025 11:37 AM,Accepted-AOC,Awarded of contract,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3136357,SUSMA SANTA,19-Oct-2025 06:20 PM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3137276,TAPAN BHATRA,20-Oct-2025 02:45 AM,Rejected-AOC,Disqualified in transparent lottery,03-Feb-2026 03:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
