Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
31-Oct-2025 05:30 PM,07-Nov-2025 11:00 AM,31-Oct-2025 05:30 PM,06-Nov-2025 05:00 PM,31-Oct-2025 05:30 PM ,04-Nov-2025 05:00 PM ,31-Oct-2025 05:30 PM,06-Nov-2025 05:00 PM,1.0,ICICI BANK,Superintending Engineer,"Rural Works Division,Jajpur","6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","17,000",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,Tender Online 05 JJPT of 2025-26,2025_CERWI_120455_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Binjharpur to Kayena Road in the district of Jajpur for the year 2025-26,S/R to Binjharpur to Kayena Road in the district of Jajpur for the year 2025-26,Please refer Tender documents. ,NA ,"16,91,315",Civil Works - Roads,NA ,Tender,90.0,30.0,JAJPUR,755007.0,NA ,NA ,NA ,"RURAL WORKS DIVISION,JAJPUR",No ,No,AOC,1,3182791,ADHIR KUMAR JENA,05-Nov-2025 01:25 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,04-Feb-2026,"INR 1,437,786.87",30.0,Swarna Prava Jena,04-Feb-2026 06:15 PM,05.pdf (459.00 KB),AWARD OF CONTRACT,SUPERINTENDING ENGINEER,Internal,"DAO,ESTIMATOR",Swarna Prava Jena,28-Jan-2026 04:02 PM,techsummary_560557.pdf (459.01 KB),SUPERINTENDING ENGINEER,Internal,"DAO, ESTIMATOR",Swarna Prava Jena,04-Feb-2026 06:13 PM,finsummary_560557.pdf (459.01 KB),CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,2025_CERWI_120455_6,Tender Online 05 JJPT of 2025-26,S/R to Binjharpur to Kayena Road in the district of Jajpur for the year 2025-26,1.0,3175412.0,PADMINI SAHOO,INR,"1,437,786.87",Finance,12 Nos. of Biiders,Truptimayee Pradhan,10-Nov-2025 01:55 PM,,BOQ Comparative Chart,AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3181478,BIJENDRA BISWAL,05-Nov-2025 01:23 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3180920,BISHNU CHARAN BEHERA,05-Nov-2025 12:48 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3182324,BISHNU ENTERPRISERS,04-Nov-2025 08:19 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3178894,LAXMIDHAR SAHOO,04-Nov-2025 07:50 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3189585,MS DEVANSH INFRA,06-Nov-2025 03:30 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3189129,M/S JMJ ENTERPRISES,06-Nov-2025 02:20 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3175412,PADMINI SAHOO,04-Nov-2025 06:01 PM,Accepted-AOC,Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3183661,SANTOSH KUMAR PADIHARI,05-Nov-2025 06:27 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3182463,SARATA CHANDRA MISHRA,04-Nov-2025 09:45 PM,Rejected-AOC,Not Qualify,04-Feb-2026 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
