S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,3234860.0,HIMANSU BISWAL,INR,"24,698,212.91",Technical,bidders name,Rinku Nahak,07-Jan-2026 06:43 PM,technical_563780.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_121177_1,CCERWCSBD Online 18 2025 26,Construction of Bridge over Local Nallah at 1.990 Km on RD road Junction to M Ghumundali road in the District of Nabarangpur under SBY for the year 2024 25,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda and P.A. to CCE",Rinku Nahak,21-Feb-2026 08:18 PM,finsummary_563780.pdf (1234.83 KB),"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda and P.A. to CCE",Rinku Nahak,07-Jan-2026 07:01 PM,12-Jan-2026 11:00 AM,techsummary_563780.pdf (865.02 KB),Finance,cs,Rinku Nahak,21-Feb-2026 08:06 PM,finance_563780.pdf,BOQ Comparative Chart,21-Feb-2026,"INR 24,698,212.91",270.0,Rinku Nahak,21-Feb-2026 08:34 PM,AOCgumunduli.pdf (927.00 KB),"Award of contract to Sri Himansu Biswal, A Class Engineering Contractor through transparency lottery system",1,3234366,Akbar Ali,18-Nov-2025 04:17 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,Chief Construction Engineer,"Rural Works Circle, Sunabeda, At-Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",Construction of Bridge over Local Nallah at 1.990 Km on RD road Junction to M Ghumundali road in the District of Nabarangpur under SBY for the year 2024 25,Construction of Bridge over Local Nallah at 1.990 Km on RD road Junction to M Ghumundali road in the District of Nabarangpur under SBY for the year 2024 25,NA ,NA ,"2,90,53,303",Civil Works - Bridges,NA ,Tender,90.0,270.0,NABARANGPUR,764059.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE, SUNABEDA",No ,No,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online 18 2025 26,2025_CERWI_121177_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,12-Nov-2025 06:00 PM,19-Nov-2025 11:00 AM,12-Nov-2025 06:00 PM,18-Nov-2025 05:00 PM,12-Nov-2025 06:00 PM ,17-Nov-2025 02:00 PM ,12-Nov-2025 06:00 PM,18-Nov-2025 05:00 PM,12-Jan-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","2,91,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3230179,ALOK KUMAR BISOYI,16-Nov-2025 09:04 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3235100,ANAND KUMAR MODI,18-Nov-2025 01:51 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3235136,ANANTARAM MALI,18-Nov-2025 02:15 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3227262,Ankit Kumar Agrawal,18-Nov-2025 11:24 AM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3235897,BANAMALI BISOI,18-Nov-2025 04:55 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3235053,B OMKAR,18-Nov-2025 01:08 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3234990,CHETAN BISOI,18-Nov-2025 12:59 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3235708,CHINMAYA BISOI,18-Nov-2025 04:00 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3234344,GANARAM MAHALA,18-Nov-2025 12:01 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
