Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Const. Of paver block road from Paban Sethy House towards Sishu Mandir in Ward-03,Const. Of paver block road from Paban Sethy House towards Sishu Mandir in Ward-03,Please refer Tender documents. ,NA ,"12,95,597",Civil Works - Others,NA ,Tender,180.0,60.0,ANANDAPUR MUNICIPALITY,758021.0,NA ,NA ,NA ,ANANDAPUR MUNICIPALITY,No ,No,1,ICICI BANK,"12,956",Yes,percentage,1.0%,Nil,Nil,EXECUTIVE OFFICER,ANANDAPUR MUNICIPALITY,1.0,Fee/PreQual/Technical/Finance,.xls,boq,Municipal Bodies||Anandapur Municipal Council,AM-ANDP-03/2025-26,2025_ORULB_119926_44,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,30-Oct-2025 12:00 PM,14-Nov-2025 11:00 AM,30-Oct-2025 12:00 PM,13-Nov-2025 05:00 PM,NA ,NA ,30-Oct-2025 12:00 PM,13-Nov-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC,cp,Internal,,Debaprasad Bal,02-Feb-2026 03:22 PM,techsummary_558112.pdf (168.07 KB),cp,Internal,,Debaprasad Bal,02-Feb-2026 04:04 PM,finsummary_558112.pdf (168.07 KB),Finance,k,Debaprasad Bal,21-Nov-2025 01:20 PM,,BOQ Comparative Chart,02-Feb-2026,"INR 1,299,597",60.0,Debaprasad Bal,02-Feb-2026 04:15 PM,44.pdf (503.00 KB),1.0,3204100.0,SANJIP KUMAR SINGH,INR,"1,299,597",Municipal Bodies||Anandapur Municipal Council,2025_ORULB_119926_44,AM-ANDP-03/2025-26,Const. Of paver block road from Paban Sethy House towards Sishu Mandir in Ward-03,1,3184780,KAMALAKANTA BEHERA,05-Nov-2025 03:51 PM,Rejected-Finance,k,02-Feb-2026 04:04 PM,AOC
,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,refer dtcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3204100,SANJIP KUMAR SINGH,09-Nov-2025 10:05 PM,Accepted-AOC,k,02-Feb-2026 04:15 PM,AOC
