S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3109029.0,EAGLE INFRA INDIA LTD,INR,"212,683,275",Technical,Twelve no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,08-Oct-2025 12:53 PM,,WATCO Bhubaneswar,2025_WATCO_118151_1,WATCO (W)-18(01)/2025-26 Dtd.15.09.2025,Implementation of 24x7 Water Supply Project for Town Planning Scheme (TP-4) under Jurisdiction of Bhubaneswar Development Authority (BDA) including Operation and Maintenance for a Period of Five Years,Managing Director,Internal,,JAYALAXMI BISWAL,24-Feb-2026 04:49 PM,finsummary_552863.pdf (790.14 KB),Managing Director,Internal,,JAYALAXMI BISWAL,14-Nov-2025 05:56 PM,17-Nov-2025 11:30 AM,techsummary_552863.pdf (3067.76 KB),Finance,Ten no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,17-Nov-2025 12:06 PM,,BOQ Comparative Chart,1,3096821,BANSAL INFRAPROJECTS PRIVATE LIMITED,01-Oct-2025 02:41 PM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,24-Feb-2026,"INR 212,683,275",547.0,JAYALAXMI BISWAL,24-Feb-2026 04:52 PM,AOC.pdf (467.00 KB),AOC,20-Sep-2025 11:00 AM,08-Oct-2025 12:30 PM,20-Sep-2025 11:00 AM,04-Oct-2025 05:00 PM,20-Sep-2025 11:00 AM ,25-Sep-2025 05:00 PM ,20-Sep-2025 11:00 AM,04-Oct-2025 05:00 PM,17-Nov-2025 11:30 AM,"11,800",Nil,Nil,No,WATCO Bhubaneswar,WATCO (W)-18(01)/2025-26 Dtd.15.09.2025,2025_WATCO_118151_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Implementation of 24x7 Water Supply Project for Town Planning Scheme (TP-4) under Jurisdiction of Bhubaneswar Development Authority (BDA) including Operation and Maintenance for a Period of Five Years,Implementation of 24x7 Water Supply Project for Town Planning Scheme (TP-4) under Jurisdiction of Bhubaneswar Development Authority (BDA) including Operation and Maintenance for a Period of Five Years,Please refer Tender documents. ,NA ,"25,01,86,000",Civil Works - Water Works,NA ,Tender,120.0,547.0,Bhubaneswar,751007.0,NA ,NA ,NA ,Bhubaneswar,No ,No,1.0,ICICI BANK,"25,02,000",Yes,fixed,,Nil,Nil,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444",1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3109029,EAGLE INFRA INDIA LTD,04-Oct-2025 04:34 PM,Accepted-AOC,Lowest bidder in Lottery,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3107609,isar engineers pvt ltd,03-Oct-2025 04:09 PM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3107975,K BHUPAL ENGINEERS AND CONTRACTORS PVT LTD,04-Oct-2025 03:09 PM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3106312,MOKVIS ENGINEERING PVT LTD,02-Oct-2025 10:54 PM,Rejected-Technical,Technically disqualified,14-Nov-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3109411,M/S APR INFRASTRUCTURE,04-Oct-2025 04:41 PM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3107976,M/S NCP CONSTRUCTION,03-Oct-2025 06:27 PM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3101461,PM CONTRACTORS PRIVATE LIMITED,29-Sep-2025 12:59 PM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3100859,ROUT INFRASTRUCTURE PRIVATE LIMITED,27-Sep-2025 05:22 PM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3100563,SHIVAJYOTI CONPRO PVT. LTD.,03-Oct-2025 11:05 AM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3104809,S.N.L. & CO.,04-Oct-2025 04:42 PM,Rejected-Technical,Technically disqualified,14-Nov-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3109491,SRI VARI INFRA,04-Oct-2025 04:53 PM,Rejected-AOC,Not a lowest bidder,24-Feb-2026 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
