Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"RC, PAN,GSTIN,VAILD LICENSE, MACHINERIES, AFFIDAVIT AND OTHER DOCUMENTS as per DTCN","48,266",Yes,percentage,1.0%,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,41.0,2025_EICCL_123976_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Construction of (R and B) Section office at Jashipur Section in the District in the District of Mayurbhanj fo rthe year 2025-26 (Ltr no.41879 dt.03.11.2025) (Building work),Construction of (R and B) Section office at Jashipur Section in the District in the District of Mayurbhanj fo rthe year 2025-26 (Ltr no.41879 dt.03.11.2025) (Building work),NA ,NA ,"48,26,571",Civil Works - Buildings,NA ,Tender,90.0,120.0,Rairangpur,757043.0,NA ,NA ,NA ,"ROADS and BUILDINGS DIVISION, RAIRANGPUR",No ,No,"6,000",0.0,Nil,Nil,No,Divisional Officer,"ROADS AND BUILDINGS DIVISION, RAIRANGPUR",31-Dec-2025 10:00 AM,07-Jan-2026 11:00 AM,31-Dec-2025 10:00 AM,06-Jan-2026 04:00 PM,31-Dec-2025 10:00 AM ,06-Jan-2026 04:00 PM ,31-Dec-2025 10:00 AM,06-Jan-2026 04:00 PM,06-Feb-2026 11:00 AM,AOC,Technical,4 Nos of bidders participated in technical evalution.,S. AMARNATH SUBUDHI,29-Jan-2026 12:15 PM,,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,2025_EICCL_123976_1,41.0,Construction of (R and B) Section office at Jashipur Section in the District in the District of Mayurbhanj fo rthe year 2025-26 (Ltr no.41879 dt.03.11.2025) (Building work),SUMIT SOURAV SAHU,Internal,samuran nandy s amar nath subudhi,Sumit Saurav Sahu,21-Feb-2026 05:46 PM,finsummary_573727.pdf (1244.15 KB),1.0,3345910.0,BHAGYASHREE MOHANTA,INR,"4,103,068.12",1,3345910,BHAGYASHREE MOHANTA,05-Jan-2026 07:06 PM,Accepted-AOC,Lottery Winner,21-Feb-2026 05:49 PM,21-Feb-2026,"INR 4,103,068.12",120.0,Sumit Saurav Sahu,21-Feb-2026 05:49 PM,601.pdf (1244.00 KB),SUMIT SOURAV SAHU,Internal,SAMIRAN NANDY S AMAR NATH SUBUDHI,Sumit Saurav Sahu,03-Feb-2026 11:44 AM,06-Feb-2026 11:00 AM,techsummary_573727.pdf (3332.21 KB),Finance,OPENED,S. AMARNATH SUBUDHI,06-Feb-2026 11:58 AM,,BOQ Comparative Chart,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3346515,DAITARI MOHANTA,06-Jan-2026 12:58 PM,Rejected-Technical,DISQUALIFIED,03-Feb-2026 11:44 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3346654,SARAT NAIK,06-Jan-2026 01:56 PM,Rejected-AOC,Lottery,21-Feb-2026 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3346014,SIKAN KUMAR NAYAK,05-Jan-2026 09:06 PM,Rejected-AOC,Lottery,21-Feb-2026 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC
