Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
600.0,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",Construction of Paver Block road from Siba House towards Sahoo House at Birachandrapur in ward No 6,Construction of Paver Block road from Siba House towards Sahoo House at Birachandrapur in ward No 6,Please refer Tender documents. ,NA ,"1,69,011",Civil Works - Roads,NA ,Tender,90.0,30.0,"NAC, Redhakhol",768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,"1,690",Yes,percentage,1.0%,Nil,Nil,17-Dec-2025 10:00 AM,29-Dec-2025 04:30 PM,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,NA ,NA ,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,Municipal Bodies||Redhakhol NAC,RDL NAC-4/2025-26,2025_ORULB_123226_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,17-Feb-2026 04:28 PM,finsummary_571824.pdf (1647.40 KB),Municipal Bodies||Redhakhol NAC,2025_ORULB_123226_5,RDL NAC-4/2025-26,Construction of Paver Block road from Siba House towards Sahoo House at Birachandrapur in ward No 6,1.0,3333107.0,TIKUN PRADHAN,INR,"168,842",Finance,18 bidder participated and admitted for Technical Evaluation,RANJAN KUMAR MARTHA,30-Jan-2026 04:51 PM,,BOQ Comparative Chart,21-Feb-2026,"INR 168,842",30.0,RANJAN KUMAR MARTHA,24-Feb-2026 05:56 PM,687.pdf (554.00 KB),1,3326766,AKHUJA NAIK,24-Dec-2025 06:29 PM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,06-Feb-2026 05:13 PM,techsummary_571824.pdf (446.60 KB),AOC
,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3325502,Banamali Behera,24-Dec-2025 11:46 AM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3333243,Birendra Kumar Sahoo,28-Dec-2025 09:49 AM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3336532,DUKHIRAM SAHU,29-Dec-2025 01:18 PM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3333336,HARISHCHANDRA SAHOO,28-Dec-2025 11:15 AM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3326494,KAUSTAVA MANI RAUL,24-Dec-2025 04:16 PM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3332187,Lilabati Meher,27-Dec-2025 05:31 PM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3334742,lilima biswal,28-Dec-2025 08:19 PM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3335079,Narendra Kumar Sahoo,28-Dec-2025 10:33 PM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3332466,ROJALIN DEHURY,27-Dec-2025 07:23 PM,Rejected-Finance,As per Lottery,17-Feb-2026 04:28 PM,,,,,,,AOC
