EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"4,534",Yes,percentage,1.0%,Nil,Nil,Improvement to Uttardhara Check dam in Lathikata Block of Sundargarh District under Improvement to Check dam Scheme.,Improvement to Uttardhara Check dam in Lathikata Block of Sundargarh District under Improvement to Check dam Scheme.,C and D class contractor ,NA ,"4,53,448",Civil Works - Others,Impvt. to CD ,Tender,90.0,60.0,Lathikata Block,770037.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,1,ICICI BANK,"2,000",0.0,Nil,Nil,No,"S.E. M.I. Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi","CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG 11/2025-26,2025_CEMIB_121102_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,12-Nov-2025 10:00 AM,22-Nov-2025 11:00 AM,12-Nov-2025 10:00 AM,21-Nov-2025 05:30 PM,12-Nov-2025 10:00 AM ,21-Nov-2025 05:30 PM ,12-Nov-2025 10:00 AM,21-Nov-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GSTIN, CDMS License, No Relation Certificate",AOC,31-Dec-2025,"INR 385,476.44",60.0,DHIRENDRA KUMAR NAIK,10-Feb-2026 12:37 PM,uttardhara.pdf (641.00 KB),The tender of Smt. Sumitra Kerketta C class ST contractor decided in Transparent Lottery Amounting to Rs 385476.44 being 14.99 percent less than the Tendered value is accepted.,1,3240878,S.K. INFRA PROJECTS,20-Nov-2025 09:57 PM,Rejected-AOC,Rejected,10-Feb-2026 12:37 PM,"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,05-Dec-2025 01:33 PM,techsummary_563548.pdf (550.27 KB),"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,05-Dec-2025 01:35 PM,finsummary_563548.pdf (550.27 KB),"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2025_CEMIB_121102_6,SE MID SNG 11/2025-26,Improvement to Uttardhara Check dam in Lathikata Block of Sundargarh District under Improvement to Check dam Scheme.,1.0,3227998.0,SUMITRA KERKETA,INR,"385,476.44",Finance,All the 02 nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence all the valid tenders have been taken into CS.,DHIRENDRA KUMAR NAIK,05-Dec-2025 01:28 PM,finance_563548.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,2,3227998,SUMITRA KERKETA,15-Nov-2025 04:40 PM,Accepted-AOC,Accepted,10-Feb-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
