Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
01-Nov-2025 10:00 AM,18-Nov-2025 11:00 AM,01-Nov-2025 10:00 AM,15-Nov-2025 05:30 PM,01-Nov-2025 10:00 AM ,15-Nov-2025 05:30 PM ,01-Nov-2025 10:00 AM,15-Nov-2025 05:30 PM,Construction of C.C guard wall with bed lining within Rd.150m to 250m and desilting from Rd.250m to 550m Subdega sub-minor-III of Talsara Irrigation Project,Construction of C.C guard wall with bed lining within Rd.150m to 250m and desilting from Rd.250m to 550m Subdega sub-minor-III of Talsara Irrigation Project,Please refer Tender documents. ,NA ,"9,30,507",Civil Works - Canal,NA ,Tender,90.0,90.0,SUNDARGARH,770020.0,NA ,NA ,NA ,"O/O THE SE, SID, SUNDARGARH",No ,No,"4,000",0.0,Nil,Nil,No,"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Sundargarh Irr.Divn,Sundargarh",SID-05/2025-26,2025_CEBBU_120342_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"9,305",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of Tender Paper Cost and EMD.,"O/O THE SE, SID, SUNDARGARH","O/O THE SE, SID, SUNDARGARH AT/PO-SANKARA DIST-SUNDARGARH PIN-770020",AOC,SEDAOAEEAE,Internal,SEDAOAEEAE,Gobinda Chandra Majhi,16-Feb-2026 04:10 PM,techsummary_560178.pdf (708.08 KB),SEDAOAEEAE,Internal,SEDAOAEEAE,Gobinda Chandra Majhi,16-Feb-2026 04:14 PM,finsummary_560178.pdf (708.08 KB),Finance,Bid Opening Summary,Gobinda Chandra Majhi,26-Nov-2025 06:26 PM,finance_560178.pdf,BOQ Comparative Chart,16-Feb-2026,"INR 791,024",90.0,Gobinda Chandra Majhi,16-Feb-2026 04:21 PM,29P1202526.pdf (5030.00 KB),WORK ORDER AND AGREEMENT COPY,1.0,3223880.0,ACHYUTANAND SAHOO,INR,"791,024","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Sundargarh Irr.Divn,Sundargarh",2025_CEBBU_120342_10,SID-05/2025-26,Construction of C.C guard wall with bed lining within Rd.150m to 250m and desilting from Rd.250m to 550m Subdega sub-minor-III of Talsara Irrigation Project,1,3223880,ACHYUTANAND SAHOO,14-Nov-2025 12:04 PM,Accepted-AOC,1st Lowest Through Lottery,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"GSTIN, PAN Card, Contractor Regd. Certificate, No Relation Certificate, Other document as per DTCN",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3224889,BANAMALI BHITRIA,15-Nov-2025 11:42 AM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3222149,ISWARI PRASAD NAIK,13-Nov-2025 05:17 PM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3220657,JAYANTA KUMAR PATTNAIK,13-Nov-2025 12:08 PM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3226502,JITENDRA NAIK,15-Nov-2025 11:51 AM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3223919,JIWAN PRAKASH MINZ,14-Nov-2025 12:08 PM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3226990,MAHENDRA KHUKHARI,15-Nov-2025 12:40 PM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3226828,RASHMITA ROUT,15-Nov-2025 11:52 AM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3226761,SHARAT KUMAR PATEL,15-Nov-2025 11:35 AM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3209340,SUNIL TOPPO,11-Nov-2025 01:26 PM,Rejected-AOC,2nd Lowest,16-Feb-2026 04:21 PM,AOC
