Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Municipal Bodies||Barbil Municipality,2025_ORULB_119252_47,BBLM-5/2025-26,"Development of pavement and parking space infront of Shree Ganesh Mandap, PHD area, Ward No.8, Barbil",1.0,3166131.0,SUVARANJAN SAMAL,INR,"895,445",1,3186772,JETHURAM PATRA,05-Nov-2025 11:42 PM,Rejected-Finance,Second,16-Feb-2026 06:56 PM,16-Feb-2026,"INR 895,445",90.0,Ramesh Chandra Nayak,16-Feb-2026 06:59 PM,WO47.pdf (262.00 KB),Contact value including GST,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,16-Feb-2026 06:56 PM,finsummary_555961.pdf (380.18 KB),Technical,open,Ramesh Chandra Nayak,07-Nov-2025 07:37 PM,technical_555961.pdf,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,24-Nov-2025 11:43 AM,24-Nov-2025 11:45 AM,techsummary_555961.pdf (4230.28 KB),Finance,open,Purna Chandra Mahanta,24-Nov-2025 12:08 PM,finance_555961.pdf,BOQ Comparative Chart,AOC,Municipal Bodies||Barbil Municipality,BBLM-5/2025-26,2025_ORULB_119252_47,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,16-Oct-2025 10:00 AM,07-Nov-2025 11:00 AM,16-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,NA ,NA ,16-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,24-Nov-2025 11:45 AM,1.0,Extension of opening date,Date,,1,ICICI BANK,"Development of pavement and parking space infront of Shree Ganesh Mandap, PHD area, Ward No.8, Barbil","Development of pavement and parking space infront of Shree Ganesh Mandap, PHD area, Ward No.8, Barbil",Please refer Tender documents. ,NA ,"10,02,000",Civil Works - Others,NA ,Tender,90.0,90.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality,No ,No,1,Fee/PreQual/Technical,.pdf,DTCN,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,"6,000",0.0,Nil,Nil,No,"10,020",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,3166131,SUVARANJAN SAMAL,04-Nov-2025 11:09 AM,Accepted-AOC,Lowest,16-Feb-2026 06:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC
