Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Chairman,Internal,"Secretary, Accountant, JE, AE",Bhubaneswar Behera,06-Feb-2026 09:55 AM,techsummary_554889.pdf (990.55 KB),06-Feb-2026,"INR 2,090,098.37",90.0,Bhubaneswar Behera,06-Feb-2026 10:08 AM,Work_Order_14.pdf (516.00 KB),As per Transparency Lottery System and selected as L-1 and work order issued,1,3146861,ABHIJEET MANDAL,24-Oct-2025 02:13 PM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,Finance,OK,Bhubaneswar Behera,01-Nov-2025 01:11 PM,,BOQ Comparative Chart,1.0,3150031.0,Sobhabati Meher,INR,"2,090,098.37",Odisha State Agricultural Marketing Board||RMC Mukhiguda,2025_OSAMB_119024_1,RMCMUKHIGUDA-14/2025-26,"Construction of Approach C.C. Road to Weigh Bridge and Repair and Renovation of existing infrastructure at Phupgaon, Dengaguda, Gotamunda and Gambhariguda Market Yards under HIRMC, Mukhiguda",Chairman,Internal,"Secretary, JE, AE, Accountant",Bhubaneswar Behera,06-Feb-2026 10:04 AM,finsummary_554889.pdf (454.86 KB),AOC,"24,587",Yes,percentage,1.0%,Nil,Nil,Odisha State Agricultural Marketing Board||RMC Mukhiguda,RMCMUKHIGUDA-14/2025-26,2025_OSAMB_119024_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of Approach C.C. Road to Weigh Bridge and Repair and Renovation of existing infrastructure at Phupgaon, Dengaguda, Gotamunda and Gambhariguda Market Yards under HIRMC, Mukhiguda","Construction of Approach C.C. Road to Weigh Bridge and Repair and Renovation of existing infrastructure at Phupgaon, Dengaguda, Gotamunda and Gambhariguda Market Yards under HIRMC, Mukhiguda",AS PER DTCN ,NA ,"24,58,650",Civil Works - Others,NA ,Rate Contract,90.0,90.0,Koksara Block,766019.0,NA ,NA ,NA ,"O/O the Sub-Collector, Dharamgarh",No ,No,1.0,ICICI BANK,"Sub-Collector, Dharamgarh",Dharamgarh,"6,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,10-Oct-2025 11:00 AM,28-Oct-2025 11:00 AM,10-Oct-2025 11:00 AM,25-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM ,24-Oct-2025 05:00 PM ,10-Oct-2025 11:00 AM,25-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,2,3149852,ABHISHEK AGRAWAL,25-Oct-2025 04:27 PM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,3,3144932,ANJAN KUMAR BEHERA,25-Oct-2025 11:11 AM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3149502,ANVI CONSTRUCTION,25-Oct-2025 02:18 PM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3124443,ARUN KUMAR GOYAL,18-Oct-2025 04:41 PM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3148983,Bhawani Sankar Harpal,24-Oct-2025 06:28 PM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3150879,CHAITANYA MAJHI,25-Oct-2025 01:58 PM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3148311,Chanchal Mahapatra,25-Oct-2025 02:49 AM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3147833,CH SUBASH CHANDRA PATRO,24-Oct-2025 01:37 PM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3146610,Jitendra Kumar Naik,23-Oct-2025 11:13 PM,Rejected-Finance,As per Transparency Lottery System,06-Feb-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
