Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 32/2025-26,2025_CERWI_123298_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,16-Dec-2025 06:00 PM,24-Dec-2025 11:00 AM,16-Dec-2025 06:00 PM,23-Dec-2025 05:00 PM,NA ,NA ,16-Dec-2025 06:00 PM,23-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,SE RWD BBSR,SE RWD BBSR,Lokipur to Berhampura Road,Lokipur to Berhampura Road,Please refer Tender documents. ,NA ,"5,93,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Khordha,751013.0,NA ,NA ,NA ,SE RWD BBSR,No ,No,"5,930",Yes,percentage,1.0%,Nil,Nil,AOC,"SE, RWD, BBSR",Internal,"Sr.DAO,AEE and Estimator",Nirmal Chandra Jena,16-Feb-2026 02:16 PM,finsummary_571929.pdf (596.24 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_123298_2,Tender Online Divn. BBSR - 32/2025-26,Lokipur to Berhampura Road,1.0,3318904.0,DIBYA SUPPLIERS,INR,"592,346",Finance,1 no bidder participated due to second time single tender,Nirmal Chandra Jena,26-Dec-2025 02:13 PM,,BOQ Comparative Chart,1.0,3318904.0,DIBYA SUPPLIERS,20-Dec-2025 12:04 PM,Accepted-AOC,L1 Bidder,16-Feb-2026 02:23 PM,16-Feb-2026,"INR 592,346",60.0,Nirmal Chandra Jena,16-Feb-2026 02:23 PM,lokipurberhampura.pdf (271.00 KB),AoC,"SE, RWD, BBSR",Internal,"Sr.DAO, AEE and Estimator",Nirmal Chandra Jena,16-Feb-2026 02:13 PM,techsummary_571929.pdf (596.24 KB),AOC
,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
