Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
10-Dec-2025 11:00 AM,18-Dec-2025 11:00 AM,10-Dec-2025 11:00 AM,17-Dec-2025 05:00 PM,NA ,NA ,10-Dec-2025 11:00 AM,17-Dec-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,SE R and B Division No-II,Office of SE R and B Division No-II,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender Paper,EMD,GSTIN,GSTRC,PAN,Registration certificate ,amd other Documents as per DTCN",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 12 /2025-26,2025_EICCL_122838_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"20,500",Yes,fixed,,Nil,Nil,S/R to T-D-C road road from Ch. 0/00 to 40/00 km such as road side Jungle clearance and tree painting during 2025-26,Road Work,Please refer Tender Documents ,NA ,"20,42,686",Civil Works - Roads,NA ,Tender,90.0,30.0,Chandrapur,765020.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,AOC,1,3310961,AKASH KUAMR DAS,17-Dec-2025 01:54 PM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,16-Feb-2026,"INR 1,736,488",30.0,Durga Madhaba Padhi,16-Feb-2026 02:12 PM,WO_TDC.pdf (501.00 KB),"Work is awarded to Sri Tirupati Prasad Panigrashi through transparent lottery system, Bid Work order No-584, Dt-02.02.2026 of R and B Division-II,Rayagada",SE No-II Rayagada,Internal,"SE, DAO, Estimator",Durga Madhaba Padhi,16-Feb-2026 01:37 PM,techsummary_570477.pdf (960.16 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2025_EICCL_122838_4,RC(RANDB) RGD NO. II/ 12 /2025-26,S/R to T-D-C road road from Ch. 0/00 to 40/00 km such as road side Jungle clearance and tree painting during 2025-26,SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,16-Feb-2026 01:53 PM,finsummary_570477.pdf (960.16 KB),Finance,Tender Opened,Durga Madhaba Padhi,16-Feb-2026 01:27 PM,finance_570477.pdf,BOQ Comparative Chart,1.0,3306173.0,TIRUPATI PRASAD PANIGRAHI,INR,"1,736,488",AOC
,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3310742,ALLAPA BISWESWARA RAO,17-Dec-2025 12:44 PM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3310378,ANU NAYAK,17-Dec-2025 11:19 AM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3307245,Balaram Panigrahi,16-Dec-2025 02:14 PM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3311313,BIDESHI KHADANGA,17-Dec-2025 02:53 PM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3310120,BIKRAM HIAL,17-Dec-2025 08:55 AM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3310548,BODIPU SAI KUMAR,17-Dec-2025 11:53 AM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3310720,GOBINDA CHANDRA SAHU,17-Dec-2025 04:27 PM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3299885,HITESH KUMAR SHARMA,13-Dec-2025 05:46 PM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3311230,JULLY BEHERA,17-Dec-2025 03:16 PM,Rejected-AOC,First Lowest,16-Feb-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
