Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. Ajaya Naik,Internal,"JE (Estimator), PH Division, Cuttack, DAO-I, PH Division, uttack, SE, PH Division, Cuttack",Ajaya Kumar Naik,17-Feb-2026 06:01 PM,techsummary_562757.pdf (2119.15 KB),PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,2025_PHEO_120932_1,"SEPH-DIVISION, CTC- 30 (04) of 2025-26","Sinking of 200 mm dia Production well including electrification and commissioning at Kantaballavpur, ward no - 11 in Jagatsinghpur Municipality.",1.0,3226629.0,J.B.S. Construction,INR,"1,399,631",1,3235247,AJAYA KUMAR BEHERA,18-Nov-2025 01:54 PM,Rejected-AOC,do not won the lottery,17-Feb-2026 06:09 PM,Finance,The validity of tenders depends on the result of scrutiny of the scanned documents and Financial bid submitted by the tenderers online.,Ajaya Kumar Naik,19-Nov-2025 01:17 PM,,BOQ Comparative Chart,Er. Ajaya Naik,Internal,"JE (Estimator), PH Division, Cuttack, DAO-PH Division, Cuttack, SE, PH Division, Cuttack",Ajaya Kumar Naik,17-Feb-2026 06:04 PM,finsummary_562757.pdf (2119.15 KB),17-Feb-2026,"INR 1,399,631",60.0,Ajaya Kumar Naik,17-Feb-2026 06:09 PM,comparative.pdf (2119.00 KB),AOC,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"OO Superintending Engineer, PH Division, Cuttack","OO Superintending Engineer, PH Division, Cuttack, Nayabazar, Cuttack","17,000",Yes,fixed,,Nil,Nil,PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,"SEPH-DIVISION, CTC- 30 (04) of 2025-26",2025_PHEO_120932_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,07-Nov-2025 06:00 PM,19-Nov-2025 11:00 AM,07-Nov-2025 06:00 PM,18-Nov-2025 05:00 PM,07-Nov-2025 06:00 PM ,11-Nov-2025 05:00 PM ,07-Nov-2025 06:00 PM,18-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD,Valid Regd.Certificate,GST,PAN,Affidavit as per DTCN","Sinking of 200 mm dia Production well including electrification and commissioning at Kantaballavpur, ward no - 11 in Jagatsinghpur Municipality.","Sinking of 200 mm dia Production well including electrification and commissioning at Kantaballavpur, ward no - 11 in Jagatsinghpur Municipality.",Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,120.0,60.0,"Mahanadivihar, Cuttack",753004.0,NA ,NA ,NA ,"OO Superintending Engineer, PH Division, Cuttack",No ,No,AOC
,,,,,,,,,,,,,,,2,3235337,AKSHAYA KUMAR BEHERA,18-Nov-2025 02:17 PM,Rejected-AOC,do not won the lottery,17-Feb-2026 06:09 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3234412,BIBEKANANDA SAHOO,18-Nov-2025 10:07 AM,Rejected-AOC,do not won the lottery,17-Feb-2026 06:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3235413,DHABALESWAR BEHERA,18-Nov-2025 02:35 PM,Rejected-AOC,do not won the lottery,17-Feb-2026 06:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3234965,GURU CHARAN ROUT,18-Nov-2025 01:59 PM,Rejected-Technical,Not Satisfied eligibility criteria as per DTCN,17-Feb-2026 06:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3226629,J.B.S. Construction,15-Nov-2025 10:48 AM,Accepted-AOC,won the lottery,17-Feb-2026 06:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3230704,KULAMANI SAHOO,18-Nov-2025 10:38 AM,Rejected-AOC,do not won the lottery,17-Feb-2026 06:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3232113,M/S. NIMAIN CHARAN BARIK,18-Nov-2025 12:56 PM,Rejected-AOC,do not won the lottery,17-Feb-2026 06:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3229315,NRUSINGH CHARAN MOHAPATRA,16-Nov-2025 01:39 PM,Rejected-AOC,do not won the lottery,17-Feb-2026 06:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3226862,SASMITA MOHANTY,17-Nov-2025 12:48 PM,Rejected-Technical,Not Satisfied eligibility criteria as per DTCN,17-Feb-2026 06:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
