EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"1,64,549",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Notice,1.0,ICICI BANK,"ACE,Angul.M.I.Circle, Dhenkanal","ACE,Angul.M.I.Circle, Dhenkanal",Improvement to Suhagi Nalla (Desilting RD 00 m To RD 2240m and Retaining wall RD 2059 to 2240m) (Phase-III) under DIP in Dhenkanal Municipality of Dhenkanal District for the year 2025-26,Improvement to Suhagi Nalla (Desilting RD 00 m To RD 2240m and Retaining wall RD 2059 to 2240m) (Phase-III) under DIP in Dhenkanal Municipality of Dhenkanal District for the year 2025-26,Please refer Tender documents. ,NA ,"1,64,54,802",Civil Works - Canal,NA ,Tender,90.0,NA ,"ACE,Angul.M.I.Circle, Dhenkanal",759001.0,NA ,NA ,NA ,"ACE,Angul.M.I.Circle, Dhenkanal",No ,No,15-Nov-2025 10:00 AM,29-Nov-2025 11:00 AM,15-Nov-2025 10:00 AM,28-Nov-2025 05:00 PM,NA ,NA ,15-Nov-2025 10:00 AM,28-Nov-2025 05:00 PM,03-Dec-2025 01:00 PM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar",Addl. C.E AMIC No.- AMIC/8/2025-26,2025_CEMIB_121252_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC,Sri Sandip Kumar Mohanty,Internal,"Sanjay Kumar Behera SE,Dripta Dutta Chowdhary D.A.O, Ambika Prasad sethy A.E.E (Est.), Seema Mohanty, A.E Estr, Niranjan Behera EE to quality control",Sandip Mohanty,05-Feb-2026 02:47 PM,finsummary_564307.pdf (289.41 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar",2025_CEMIB_121252_3,Addl. C.E AMIC No.- AMIC/8/2025-26,Improvement to Suhagi Nalla (Desilting RD 00 m To RD 2240m and Retaining wall RD 2059 to 2240m) (Phase-III) under DIP in Dhenkanal Municipality of Dhenkanal District for the year 2025-26,Technical,Opened,Seema Mohanty,29-Nov-2025 01:13 PM,technical_564307.pdf,1.0,3252542.0,Hemanta Prusty,INR,"13,988,227",1,3262358,AMIT KUMAR MAHAPATRA,28-Nov-2025 10:11 AM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,05-Feb-2026,"INR 13,988,227",180.0,Sandip Mohanty,05-Feb-2026 03:50 PM,suhagi.pdf (1020.00 KB),Agreement done on dt.29.12.2025,Finance,Opened,Seema Mohanty,03-Dec-2025 02:42 PM,finance_564307.pdf,BOQ Comparative Chart,"ACE, AMIC, Dhenkanal",Internal,,Sandip Mohanty,03-Dec-2025 11:04 AM,03-Dec-2025 01:00 PM,techsummary_564307.pdf (616.13 KB),AOC
,,,,,,,,.pdf,"Tender cost, EMD in online valid RC,GSTIN and PAN ,NRC Affidavit Any other documents as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3263326,Anshuman Swain,28-Nov-2025 01:20 PM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3244691,ASISH KUMAR SWAIN,21-Nov-2025 05:43 PM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3262212,BIBHUTI BHUSAN SAHOO,28-Nov-2025 08:38 AM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3254085,DIGDARSAN BEHERA,25-Nov-2025 01:24 PM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3262108,DINESH KUMAR SAHOO,28-Nov-2025 09:49 AM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3252542,Hemanta Prusty,24-Nov-2025 10:04 PM,Accepted-AOC,Successful through Transparent lottery system and work has been awarded,05-Feb-2026 03:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3263460,MAHIMA CONSTRUCTION PROPRIETOR SRI SRIKANTA DEHURY,28-Nov-2025 01:42 PM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3262811,NIHAR RANJAN SAHU,28-Nov-2025 12:29 PM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3263699,PIYUSH RANJAN BHUKTA,28-Nov-2025 02:19 PM,Rejected-Finance,Unsuccessful through Transparent lottery system,05-Feb-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
