Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"6,000",0.0,Nil,Nil,No,Municipal Bodies||Anandapur Municipal Council,AM-ANDP-03/2025-26,2025_ORULB_119926_87,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Impv. Of road at Uttareswar temple towards ward-02,Impv. Of road at Uttareswar temple towards ward-02,Please refer Tender documents. ,NA ,"16,94,802",Civil Works - Others,NA ,Tender,180.0,60.0,ANANDAPUR MUNICIPALITY,758021.0,NA ,NA ,NA ,ANANDAPUR MUNICIPALITY,No ,No,30-Oct-2025 12:00 PM,14-Nov-2025 11:00 AM,30-Oct-2025 12:00 PM,13-Nov-2025 05:00 PM,NA ,NA ,30-Oct-2025 12:00 PM,13-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.xls,boq,"16,948",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,EXECUTIVE OFFICER,ANANDAPUR MUNICIPALITY,AOC,cp,Internal,,Debaprasad Bal,06-Feb-2026 01:00 PM,techsummary_558958.pdf (168.07 KB),cp,Internal,,Debaprasad Bal,11-Feb-2026 12:31 PM,finsummary_558958.pdf (168.07 KB),Finance,k,Debaprasad Bal,18-Nov-2025 12:19 PM,finance_558958.pdf,BOQ Comparative Chart,11-Feb-2026,"INR 1,700,086",60.0,Debaprasad Bal,11-Feb-2026 12:35 PM,committe.pdf (168.00 KB),1.0,3186511.0,PRAVAT KUMAR PANDA,INR,"1,700,086",Municipal Bodies||Anandapur Municipal Council,2025_ORULB_119926_87,AM-ANDP-03/2025-26,Impv. Of road at Uttareswar temple towards ward-02,1,3203939,CHAMPABATI TARAI,11-Nov-2025 08:26 PM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,refer dtcn,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3218046,HIMANSU SEKHAR DAS,12-Nov-2025 04:11 PM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3185047,KAMALAKANTA BEHERA,05-Nov-2025 05:02 PM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3209710,MAA TARINI FABRICATION,11-Nov-2025 12:17 AM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3219277,NILAMANI SAHOO,12-Nov-2025 08:59 PM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3215537,PRAFULLA KUMAR SAHOO,12-Nov-2025 07:41 PM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3215417,PRASANNA KUMAR MISHRA,11-Nov-2025 10:18 PM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3186511,PRAVAT KUMAR PANDA,05-Nov-2025 09:24 PM,Accepted-AOC,k,11-Feb-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3221583,RABINDRA KUMAR BARIK,13-Nov-2025 02:46 PM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3218655,SABITA MALIK,12-Nov-2025 06:37 PM,Rejected-Finance,k,11-Feb-2026 12:31 PM,AOC
