Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Documents,Municipal Bodies||Paradeep Municipality,EO/PDPM/W_1/2025-26,2025_ORULB_113460_29,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EO, PARADEEP MUNICIPALITY",PARADEEP MUNICIPALITY,"Construction of 4 nos of Mandap at Sai Mandap, Mangala Mandap, Radhakrushna Mandap (Talapada), Radhakrushna Mandap (Uparapada) in ward no 03","Construction of 4 nos of Mandap at Sai Mandap, Mangala Mandap, Radhakrushna Mandap (Talapada), Radhakrushna Mandap (Uparapada) in ward no 03",Please refer Tender documents. ,NA ,"10,73,262",Civil Works - Others,NA ,Tender,120.0,90.0,PARADEEP MUNICIPALITY,754142.0,NA ,NA ,NA ,PARADEEP MUNICIPALITY,No ,No,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,19-May-2025 10:00 AM,02-Jun-2025 11:00 AM,19-May-2025 10:00 AM,31-May-2025 05:00 PM,19-May-2025 10:00 AM ,31-May-2025 05:00 PM ,19-May-2025 10:00 AM,31-May-2025 05:00 PM,"10,733",Yes,percentage,1.0%,Nil,Nil,AOC,Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,18-Feb-2026 12:31 PM,techsummary_539801.pdf (374.72 KB),Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,18-Feb-2026 12:34 PM,finsummary_539801.pdf (374.72 KB),Finance,BIDS OF ALL THE TWO BIDDERS HAVE BEEN ADMITTED,Abhishek Panda,04-Jun-2025 03:17 PM,,BOQ Comparative Chart,1.0,2945289.0,SN ENGINEERING,INR,"1,089,300",Municipal Bodies||Paradeep Municipality,2025_ORULB_113460_29,EO/PDPM/W_1/2025-26,"Construction of 4 nos of Mandap at Sai Mandap, Mangala Mandap, Radhakrushna Mandap (Talapada), Radhakrushna Mandap (Uparapada) in ward no 03",1,2941511,RAJESH KUMAR BEHERA,31-May-2025 07:52 AM,Rejected-Finance,L2,18-Feb-2026 12:34 PM,18-Feb-2026,"INR 1,089,300",90.0,Bibhuti Tripathy,18-Feb-2026 12:36 PM,29.pdf (375.00 KB),Contract value includes GST.,AOC
,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2945289,SN ENGINEERING,31-May-2025 04:34 PM,Accepted-AOC,Contract value includes GST.,18-Feb-2026 12:36 PM,,,,,,,,AOC
