Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD Online, RC PAN GST Affidavit regarding correctness No relation Certificate",24-Oct-2024 12:40 PM,30-Oct-2025 06:00 PM,24-Oct-2025 02:45 PM,30-Oct-2025 05:00 PM,24-Oct-2025 02:45 PM ,29-Oct-2025 05:00 PM ,24-Oct-2025 02:45 PM,30-Oct-2025 05:00 PM,"Executive Engineer, R.W.Division, Angul","Executive Engineer, R.W.Division, Angul",Nalam - Talapada,Nalam - Talapada,Please refer Tender documents. ,NA ,"20,34,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Angul,759143.0,NA ,NA ,NA ,"O/O Executive Engineer, R.W.Division, Angul",No ,No,"6,000",0.0,Nil,Nil,No,"20,350",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-06,2025_CERWI_119974_29,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,EE,Internal,DAO Est,Raju Dhaunlia,22-Feb-2026 06:51 PM,techsummary_558006.pdf (198.63 KB),EE,Internal,DAO Est,Raju Dhaunlia,22-Feb-2026 06:56 PM,finsummary_558006.pdf (198.63 KB),Finance,16 Bid found,Raju Dhaunlia,22-Feb-2026 06:49 PM,finance_558006.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2025_CERWI_119974_29,Online AGL-06,Nalam - Talapada,1.0,3167677.0,Tusarkanta Sahoo,INR,"2,040,232",1,3166833,ANJAN KUMAR SAHOO,30-Oct-2025 10:08 AM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,22-Feb-2026,"INR 2,040,232",60.0,Raju Dhaunlia,22-Feb-2026 07:02 PM,Nala153.pdf (573.00 KB),153P-I,AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3164526,ANSHUMAN DASH,28-Oct-2025 07:15 PM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3165463,BIDYADHAR SAMAL,29-Oct-2025 11:23 AM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3166692,BIKRAM KUMAR PRADHAN,30-Oct-2025 10:37 AM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3166896,DILLIP KUMAR BEHERA,30-Oct-2025 04:19 PM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3162449,MURALIDHAR SAMAL,28-Oct-2025 11:33 AM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3164050,PRIYANKA PATTANAYAK,28-Oct-2025 04:46 PM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3163695,PUSPALATA SAHOO,28-Oct-2025 03:15 PM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3164325,SARASWATI PRADHAN,29-Oct-2025 07:07 AM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3168174,SARBESWAR SAHOO,30-Oct-2025 04:01 PM,Rejected-Finance,Not Won,22-Feb-2026 06:56 PM,,,,,,,,AOC
