Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Impvt. to Baspur lock to Orsaka Village RD Road via Chakroda Lock and Saharpur Village Road in the Dist. of Kendrapara under MMSY-Impvt. to Existing RD Roads for the year 2024-25.,Construction and Maintenance of for the year 2024-25,Please refer tender documents ,NA ,"2,47,30,546",Civil Works - Roads,NA ,Tender,90.0,270.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,1.0,ICICI BANK,"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur","2,47,305",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-12/25,2025_CERWI_116946_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, GST, EMD PAN,RC,Affidavit regarding correctness",16-Aug-2025 03:30 PM,03-Sep-2025 11:00 AM,16-Aug-2025 03:30 PM,02-Sep-2025 05:00 PM,16-Aug-2025 03:30 PM ,01-Sep-2025 02:00 PM ,16-Aug-2025 03:30 PM,02-Sep-2025 05:00 PM,03-Oct-2025 11:00 AM,AOC,Technical,11 no of bidders have been participated,Satyajit Dalai,03-Sep-2025 04:38 PM,,CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_116946_7,Tender Online RCK-12/25,Impvt. to Baspur lock to Orsaka Village RD Road via Chakroda Lock and Saharpur Village Road in the Dist. of Kendrapara under MMSY-Impvt. to Existing RD Roads for the year 2024-25.,CCE,Internal,,Satyajit Dalai,19-Nov-2025 03:15 PM,finsummary_549411.pdf (120.40 KB),1.0,3049218.0,ANANTA PRASAD MALIK,INR,"21,023,438",1,3049218,ANANTA PRASAD MALIK,01-Sep-2025 10:25 PM,Accepted-AOC,The work has been awarded to Ananta Prasad Malliik,13-Feb-2026 02:23 PM,01-Jan-2026,"INR 21,023,438",270.0,Satyajit Dalai,13-Feb-2026 02:23 PM,5688.pdf (253.00 KB),The work has been awarded to Ananta Prasad Mallik,CCE,Internal,,Nibedita Nayak,24-Sep-2025 05:23 PM,03-Oct-2025 11:00 AM,techsummary_549411.pdf (1585.38 KB),Finance,08 no of bidders have been participated,Suchitra Kar,03-Oct-2025 12:49 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour license, Similar nature of work, Work in hand, Annual Turn Over, No relation certificate",,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3044602,ANIL KUMAR SETHI,02-Sep-2025 04:37 PM,Rejected-Technical,Disualified due to insufficient A.T.O as per clause no. 2.1 (5) of eligibility criteria of General Instructions to tenderers of DTCN.,24-Sep-2025 05:23 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hireBalance sheet, Bidder Contact address and other documents as per DTCN",,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3056130,CHANDAN KUMAR PAIKARAY,30-Aug-2025 01:28 PM,Rejected-Finance,Rejected Bidder,19-Nov-2025 03:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3060542,KALINGA CONSTRUCTION,02-Sep-2025 09:58 AM,Rejected-Finance,Rejected Bidder,19-Nov-2025 03:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3061227,LAXMIDHAR SWAIN,02-Sep-2025 02:41 PM,Rejected-Technical,Disqualified due to insufficient of similar nature of work experience as per clause no. 2.1 (4) of eligibility criteria of General Instructions to tenderers of DTCN.,24-Sep-2025 05:23 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3043834,MAMALI MADHUSMITA,21-Aug-2025 06:13 PM,Rejected-Finance,Rejected Bidder,19-Nov-2025 03:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3060282,SOUGAT SEKHAR ROUTRAY,02-Sep-2025 10:28 AM,Rejected-Finance,Rejected Bidder,19-Nov-2025 03:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3061524,SRI RABINDRA KUMAR SAHOO,02-Sep-2025 04:58 PM,Rejected-Finance,Rejected Bidder,19-Nov-2025 03:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3060112,SUBHAM ROUT,01-Sep-2025 08:08 PM,Rejected-Finance,Rejected Bidder,19-Nov-2025 03:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3060850,SUMAN KUMAR SAHU,02-Sep-2025 12:51 PM,Rejected-Technical,Disqalified due to non-submission of affidavit regarding establishment of Hot Mix Plant within 60 km as per clause no. 1.2.11 of instructions to bidders of DTCN.,24-Sep-2025 05:23 PM,,,,,,,,,,,,,,,,,,,,,AOC
