S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2982307.0,JMBG CONSTRUCTION,INR,"78,500,454.22",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_114706_5,CCERWCSBD Online 04/2025-26,Construction of flood resilient road from Aunil to Bhaisbeda road under SDMF for the year 2025-26 in the District of Nabarangpur,Technical,bidders name,Sushama Bhoi,23-Sep-2025 07:13 PM,technical_544070.pdf,"EIC-I, Rural Works",Internal,"CE, Roads, ACE Roads, AO office of EIC",Rinku Nahak,02-Feb-2026 07:49 PM,finsummary_544070.pdf (1141.72 KB),"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda",Sushama Bhoi,23-Sep-2025 07:22 PM,26-Sep-2025 11:00 AM,techsummary_544070.pdf (1851.55 KB),Finance,cs,Rinku Nahak,02-Feb-2026 07:37 PM,finance_544070.pdf,BOQ Comparative Chart,1,2981093,ALOK KUMAR BISOYI,29-Jun-2025 11:29 AM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,02-Feb-2026,"INR 92,342,611.72",367.0,Rinku Nahak,02-Feb-2026 07:57 PM,AOCAUNIL.pdf (1472.00 KB),"Award of contract to M/s JMBG Construction, Special Class Contractor through transparency lottery system",AOC,"9,24,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","10,000",0.0,Nil,Nil,No,Construction of flood resilient road from Aunil to Bhaisbeda road under SDMF for the year 2025-26 in the District of Nabarangpur,Construction of flood resilient road from Aunil to Bhaisbeda road under SDMF for the year 2025-26 in the District of Nabarangpur,N.A ,NA ,"9,23,43,000",Civil Works - Roads,NA ,Tender,90.0,367.0,NABARANGPUR,764059.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online 04/2025-26,2025_CERWI_114706_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,23-Jun-2025 06:55 PM,02-Jul-2025 10:00 AM,23-Jun-2025 06:55 PM,01-Jul-2025 05:00 PM,23-Jun-2025 06:55 PM ,30-Jun-2025 02:00 PM ,23-Jun-2025 06:55 PM,01-Jul-2025 05:00 PM,26-Sep-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2984961,DEMANTI AGRAWAL,01-Jul-2025 11:50 AM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2985172,GANESH PATNAIK,01-Jul-2025 01:20 PM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2980022,HARISH CHANDRA HOTA,30-Jun-2025 05:43 PM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2985095,JAY PRAKASH SHARMA,01-Jul-2025 04:47 PM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2982307,JMBG CONSTRUCTION,01-Jul-2025 01:15 PM,Accepted-AOC,"Award of contract to M/s JMBG Construction, Special Class Contractor through transparency lottery system",02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2984161,KAMAL HALDAR,30-Jun-2025 04:44 PM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2982409,Khaga Bhatara,29-Jun-2025 09:22 PM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2981764,MS ADYA CONSTRUCTION,30-Jun-2025 09:07 PM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2983503,"M/s Arnav Construction, Prop.Dibya Kishor Padhi",01-Jul-2025 03:40 PM,Rejected-AOC,REJECT,02-Feb-2026 07:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
