S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3219946.0,INDRAJIT NAYAK,INR,"428,684",CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120870_25,03(Onilne)/RWD/UDALA/2025-26,Repair to 2 Nos. of Twin Constable Qtr. At Kaptipada for the year 2025-26.,1,3215122,ANANTA PARIDA,11-Nov-2025 08:57 PM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,07-Feb-2026,"INR 428,684",30.0,Haripriya Behera,07-Feb-2026 02:19 PM,Kaptipada25A.pdf (690.00 KB),Finance,22 Nos of bidders admitted,Haripriya Behera,07-Feb-2026 02:11 PM,,BOQ Comparative Chart,SE RWD Udala,Internal,,Haripriya Behera,07-Feb-2026 02:16 PM,finsummary_562160.pdf (1401.03 KB),SE RWD Udala,Internal,,Haripriya Behera,07-Feb-2026 02:13 PM,techsummary_562160.pdf (1401.04 KB),AOC,1.0,ICICI BANK,"5,880",Yes,percentage,1.0%,Nil,Nil,06-Nov-2025 04:00 PM,13-Nov-2025 05:30 PM,06-Nov-2025 04:00 PM,13-Nov-2025 05:00 PM,06-Nov-2025 04:00 PM ,13-Nov-2025 03:00 PM ,06-Nov-2025 04:00 PM,13-Nov-2025 05:00 PM,Repair to 2 Nos. of Twin Constable Qtr. At Kaptipada for the year 2025-26.,Repair to 2 Nos. of Twin Constable Qtr. At Kaptipada for the year 2025-26.,Please refer Tender documents. ,NA ,"5,88,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits and other documents as per DTCN.",SE RWD Udala,SE RWD Udala,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,03(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120870_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,3218228,BASANTI BEHERA,12-Nov-2025 04:56 PM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3219804,BISHESWAR ROUT,13-Nov-2025 06:25 AM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3197654,BIVASH KUMAR ROUT,13-Nov-2025 01:32 AM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3221239,DAMBARUDHAR SETHI,13-Nov-2025 01:42 PM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3219946,INDRAJIT NAYAK,13-Nov-2025 08:23 AM,Accepted-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3218502,INDUREKHA JENA,12-Nov-2025 06:37 PM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3220010,JAYALAXMI NATH,13-Nov-2025 12:27 PM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3212218,KRUSHNA CHANDRA SAHU,12-Nov-2025 02:03 PM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3214513,"M/S SAI SHREE CONSTRUCTIONS, PROP. SANGYASENI ROUT",11-Nov-2025 05:59 PM,Rejected-AOC,L1,07-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
